Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,B,U,I,K,H,R,V,J,pmra,plx_value,rvz_qual,otype,pmdec,rvz_nature,sp_bibcode,sp_type,sp_qual,matched_id
True,,BPS CS 22166-016,,,BPS CS 22166-0016,14.59933990306,-14.78524406192,0.013,0.01,90,O,2020yCat.1350....0G,13.34000015258789,,11.89799976348877,10.762999534606934,10.798999786376953,12.324000358581543,12.75,11.222000122070312,30.98,0.4729,A,Pe*,-16.031,s,2019A&A...623A.128H,CEMP-no,C,BPS CS 22166-0016
True,,BPS CS 22169-008,,,BPS CS 22169-0008,60.90117520013,-12.82786021857,0.0196,0.0153,90,O,2020yCat.1350....0G,15.520000457763672,,,13.569999694824219,13.67300033569336,15.149999618530273,14.989999771118164,14.015000343322754,3.317,0.5444,D,Pe*,-26.488,,,,,BPS CS 22169-0008
True,,BPS CS 22169-035,,,HE 0409-1212,63.05783928665,-12.084743125019997,0.0099,0.0094,90,O,2020yCat.1350....0G,13.843000411987305,,11.763999938964844,10.352999687194824,10.479999542236328,,12.897000312805176,11.001999855041504,7.986,0.1927,A,Pe*,-4.925,s,,,,BPS CS 22169-0035
True,,BPS CS 22171-031,,,BPS CS 22171-0031,32.35229570933,-10.57118526522,0.0142,0.013,90,O,2020yCat.1350....0G,14.380000114440918,,,12.654999732971191,12.675000190734863,13.9399995803833,13.949999809265137,12.956000328063965,54.445,1.0782,D,Pe*,-20.817,,,,,BPS CS 22171-0031
True,,BPS CS 22171-037,,,BPS CS 22171-0037,32.00242664748,-9.06341882468,0.0207,0.0192,90,O,2020yCat.1350....0G,15.380000114440918,,,13.770999908447266,13.696999549865723,15.069999694824219,14.9399995803833,13.987000465393066,13.122,0.4924,D,Pe*,-34.68,,,,,BPS CS 22171-0037
True,,BPS CS 22172-029,,,HE 0328-1047,52.68900099831,-10.61940108073,0.0169,0.0143,90,O,2020yCat.1350....0G,14.970000267028809,,13.543000221252441,12.394000053405762,12.491000175476074,13.925999641418457,14.359999656677246,12.883999824523926,11.611,0.1932,D,RG*,-16.065,s,,,,BPS CS 22172-0029
True,,BPS CS 22174-020,,,BPS CS 22174-0020,20.11365613964,-8.787866950540002,0.0264,0.0181,90,O,2020yCat.1350....0G,15.520000457763672,,,13.77299976348877,13.758000373840332,15.09000015258789,15.039999961853027,14.10099983215332,21.1,0.7302,D,Pe*,-19.176,,,,,BPS CS 22174-0020
True,,BPS CS 22177-009,,,BPS CS 22177-0009,61.919371242100006,-25.045547296130003,0.0078,0.0124,90,O,2020yCat.1350....0G,14.670000076293945,,,12.95300006866455,12.986000061035156,,14.270000457763672,13.220000267028809,22.156,1.2189,D,Pe*,-61.651,,,,,BPS CS 22177-0009
True,,BPS CS 22177-010,,,BPS CS 22177-0010,62.50202421192001,-25.74412400478,0.0081,0.0118,90,O,2020yCat.1350....0G,14.739999771118164,,,12.925999641418457,13.0,14.449999809265137,14.329999923706055,13.265999794006348,26.566,1.158,D,Pe*,-24.091,,,,,BPS CS 22177-0010
True,,BPS CS 22180-014,,,G 272-44,23.51045231549,-12.69861390411,0.015,0.0097,90,O,2020yCat.1350....0G,14.010000228881836,,,12.14799976348877,12.210000038146973,,13.579999923706055,12.48900032043457,127.119,1.9868,C,Pe*,-132.825,s,,,,BPS CS 22180-0014
True,,BPS CS 22182-033,,,BPS CS 22182-0033,65.79366575662,-30.617830417579995,0.0115,0.0161,90,O,2020yCat.1350....0G,15.109999656677246,,,13.17199993133545,13.234999656677246,,14.670000076293945,13.529999732971191,33.626,0.555,D,Pe*,-6.802,,,,,BPS CS 22182-0033
True,,BPS CS 22182-047,,,BPS CS 22182-0047,65.62563066767,-27.58068365361,0.0073,0.0093,90,O,2020yCat.1350....0G,13.720000267028809,,,11.682000160217285,11.744999885559082,,13.239999771118164,12.088000297546387,72.094,1.1633,D,Pe*,-64.817,,,,,BPS CS 22182-0047
True,,BPS CS 22183-031,,,BPS CS 22183-0031,17.27120871464,-4.72259543901,0.0155,0.0119,90,O,2020yCat.1350....0G,14.239999771118164,,12.723999977111816,11.581999778747559,11.654000282287598,13.178000450134277,13.619999885559082,12.111000061035156,21.383,0.3435,B,Pe*,-9.368,s,,,,BPS CS 22183-0031
True,,BPS CS 22185-007,,,HE 0315-1528,49.4002246147,-15.28963833824,0.0129,0.0112,90,O,2020yCat.1350....0G,14.050000190734863,,12.371999740600586,11.130000114440918,11.199000358581543,12.852999687194824,13.34000015258789,11.664999961853027,16.03,0.2675,B,Pe*,-7.013,s,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22185-0007
True,,BPS CS 22186-002,,,BPS CS 22186-0002,63.48838481662,-36.77369766057,0.0076,0.0097,90,O,2020yCat.1350....0G,13.670000076293945,,,11.645000457763672,11.694999694824219,,13.770000457763672,12.02299976348877,49.786,0.99,B,Pe*,-0.871,s,,,,BPS CS 22186-0002
True,,BPS CS 22186-017,,,BPS CS 22186-0017,64.09279397211,-34.29935431818,0.0082,0.0114,90,O,2020yCat.1350....0G,13.960000038146973,,,12.130000114440918,12.21399974822998,,13.529999732971191,12.498000144958496,91.877,1.4253,C,Pe*,34.568,s,,,,BPS CS 22186-0017
True,,BPS CS 22186-023,,,BPS CS 22186-0023,64.93972187311,-36.85999471868999,0.0081,0.0097,90,O,2020yCat.1350....0G,13.569999694824219,,11.925000190734863,10.815999984741211,10.904999732971191,,12.84000015258789,11.350000381469727,8.53,0.3091,D,RG*,-1.977,s,,,,BPS CS 22186-0023
True,,BPS CS 22189-009,,,HE 0239-1340,40.42655064423,-13.469612165900001,0.011,0.0139,90,O,2020yCat.1350....0G,14.729999542236328,,13.079999923706055,11.79800033569336,11.895000457763672,13.565999984741211,13.970000267028809,12.390999794006348,3.366,0.1361,A,Pe*,-4.652,s,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22189-0009
True,,BPS CS 22191-029,,,BPS CS 22191-0029,71.92699412438,-39.12401773804,0.0102,0.0122,90,O,2020yCat.1350....0G,14.460000038146973,,,12.61400032043457,12.645999908447266,,14.050000190734863,12.946999549865723,10.494,0.1587,C,HB*,1.874,s,,,,BPS CS 22191-0029
True,,BPS CS 22871-104,,,BPS CS 22871-0104,222.72120874431,-20.81048737594,0.0246,0.0197,90,O,2020yCat.1350....0G,15.329999923706055,,,13.5600004196167,13.630999565124512,,14.90999984741211,13.864999771118164,-29.429,0.4479,D,Pe*,-6.061,,,,,BPS CS 22871-0104
True,,BPS CS 22872-102,,,BPS CS 22872-0102,247.33622684161998,-3.08242448698,0.0129,0.0075,90,O,2020yCat.1350....0G,14.329999923706055,,,11.621999740600586,11.755000114440918,13.640000343322754,13.670000076293945,12.079999923706055,-18.181,2.2545,D,Pe*,-95.465,,,,,BPS CS 22872-0102
True,,BPS CS 22873-072,,,BPS CS 22873-0072,298.02286774213,-61.627547415340004,0.0113,0.0146,90,O,2020yCat.1350....0G,15.050000190734863,,,13.324000358581543,13.288000106811523,14.59000015258789,14.640000343322754,13.581999778747559,-0.844,0.9119,D,Pe*,-48.678,,,,,BPS CS 22873-0072
True,,BPS CS 22873-128,,,HE 2002-5843,301.76579831183,-58.58266470801,0.0095,0.0103,90,O,2020yCat.1350....0G,13.720000267028809,,12.10200023651123,10.87399959564209,10.993000030517578,,13.029999732971191,11.430000305175781,-0.132,0.294,B,Pe*,-5.491,s,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22873-0128
True,,BPS CS 22874-123,,,BPS CS 22874-0123,222.24058610833998,-24.35432673535,0.0263,0.0216,90,O,2020yCat.1350....0G,15.149999618530273,,,13.180000305175781,13.282999992370605,,14.699999809265137,13.548999786376953,-12.112,0.688,D,Pe*,-31.624,,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22874-0123
True,,BPS CS 22875-029,,,BPS CS 22875-0029,337.35454257698,-38.96318143678,0.0115,0.0112,90,O,2020yCat.1350....0G,14.079999923706055,,,12.267000198364258,12.29800033569336,,13.6899995803833,12.583999633789062,12.542,0.1906,D,HB*,-5.33,,,,,BPS CS 22875-0029
True,,BPS CS 22876-040,,,BPS CS 22876-0040,1.21855569255,-34.22703911432,0.0211,0.0198,90,O,2020yCat.1350....0G,15.489999771118164,,,13.848999977111816,13.996000289916992,,15.09000015258789,14.208999633789062,-5.297,0.5147,D,Pe*,-19.032,,,,,BPS CS 22876-0040
True,,BPS CS 22877-001,,,BPS CS 22877-0001,198.48071948989997,-12.194907237329998,0.0134,0.0102,90,O,2020yCat.1350....0G,12.779999732971191,,11.218000411987305,9.991000175476074,10.109000205993652,11.694999694824219,12.380000114440918,10.555000305175781,-16.215,0.4249,A,Pe*,-22.059,s,2019A&A...623A.128H,CEMP-no,C,BPS CS 22877-0001
True,,BPS CS 22877-011,,,BPS CS 22877-0011,198.66737898241,-9.596269708449999,0.0162,0.0115,90,O,2020yCat.1350....0G,14.489999771118164,,,11.878000259399414,11.92300033569336,13.960000038146973,13.8100004196167,12.338000297546387,-25.039,0.3044,D,Pe*,3.121,s,,,,BPS CS 22877-0011
True,,BPS CS 22877-015,,,BPS CS 22877-0015,198.43856302070998,-9.26196012552,0.0125,0.0101,90,O,2020yCat.1350....0G,13.630000114440918,,,11.899999618530273,11.973999977111816,,13.229999542236328,12.187999725341797,-42.52,1.5399,D,Pe*,-35.288,,,,,BPS CS 22877-0015
True,,BPS CS 22877-051,,,BPS CS 22877-0051,200.87974254098998,-12.58695827259,0.0184,0.0137,90,O,2020yCat.1350....0G,14.598999977111816,14.4399995803833,,12.932999610900879,12.958000183105469,,14.260000228881836,13.21500015258789,-43.127,0.9245,D,Pe*,-15.51,,,,,BPS CS 22877-0051
True,,BPS CS 22878-002,,,BPS CS 22878-0002,248.45429622911,7.89338019085,0.0149,0.0083,90,O,2020yCat.1350....0G,14.850000381469727,,,12.920999526977539,12.928999900817871,14.460000038146973,14.390000343322754,13.218999862670898,-39.683,1.3827,C,Pe*,-88.436,s,,,,BPS CS 22878-0002
True,,BPS CS 22878-027,,,BPS CS 22878-0027,249.39934880158,10.36882077463,0.012,0.0089,90,O,2020yCat.1350....0G,14.859999656677246,,,12.970000267028809,12.984000205993652,14.449999809265137,14.399999618530273,13.347999572753906,-3.493,1.2653,D,Pe*,-61.323,,2019A&A...623A.128H,CEMP-no,C,BPS CS 22878-0027
