Name,Species,Z,logepsX_sun,N,l_logepsX,logepsX,e_logepsX
J1008+0001,Li I,3,,1,<,0.1,
J1008+0001,C-H,6,8.43,1,,7.0,0.2
J1008+0001,C-N,7,7.83,1,,6.7,0.3
J1008+0001,O I,8,8.69,2,,8.08,0.15
J1008+0001,Na I,11,6.24,4,,4.97,0.13
J1008+0001,Mg I,12,7.6,3,,6.5,0.21
J1008+0001,Al I,13,6.45,2,<,5.2,
J1008+0001,Si I,14,7.51,13,,6.28,0.1
J1008+0001,K I,19,5.03,1,,3.68,0.26
J1008+0001,Ca I,20,6.34,14,,3.87,0.16
J1008+0001,Sc II,21,3.15,4,,-0.23,0.13
J1008+0001,Ti I,22,4.95,11,,2.4,0.27
J1008+0001,Ti II,22,4.95,9,,1.81,0.11
J1008+0001,V I,23,3.93,0,,,
J1008+0001,V II,23,3.93,0,,,
J1008+0001,Cr I,24,5.64,9,,2.64,0.25
J1008+0001,Cr II,24,5.64,0,,,
J1008+0001,Mn I,25,5.43,3,,2.46,0.22
J1008+0001,Fe I,26,7.5,70,,4.42,0.22
J1008+0001,Fe II,26,7.5,2,,4.07,0.14
J1008+0001,Co I,27,4.99,0,,,
J1008+0001,Ni I,28,6.22,6,,3.4,0.21
J1008+0001,Zn I,30,4.56,2,,2.26,0.1
J1008+0001,Sr II,38,2.87,1,,-2.47,0.21
J1008+0001,Y II,39,2.21,0,,,
J1008+0001,Zr II,40,2.58,0,,,
J1008+0001,Ba II,56,2.18,3,,-2.24,0.17
J1008+0001,La II,57,1.1,0,,,
J1008+0001,Ce II,58,1.58,0,,,
J1008+0001,Pr II,59,0.72,0,,,
J1008+0001,Nd II,60,1.42,0,,,
J1008+0001,Sm II,62,0.96,0,,,
J1008+0001,Eu II,63,0.52,2,<,-2.4,
J1008+0001,Dy II,66,1.1,0,,,
J1008+0001,Pb I,82,2.04,1,<,0.3,
J1010-0220,Li I,3,,1,<,0.4,
J1010-0220,C-H,6,8.43,1,,4.7,0.2
J1010-0220,C-N,7,7.83,0,,,
J1010-0220,O I,8,8.69,1,<,6.7,
J1010-0220,Na I,11,6.24,2,,2.72,0.29
J1010-0220,Mg I,12,7.6,2,,4.4,0.14
J1010-0220,Al I,13,6.45,1,,2.07,0.39
J1010-0220,Si I,14,7.51,1,,4.27,0.38
J1010-0220,K I,19,5.03,2,,2.32,0.22
J1010-0220,Ca I,20,6.34,6,,3.15,0.18
J1010-0220,Sc II,21,3.15,5,,-0.3,0.14
J1010-0220,Ti I,22,4.95,5,,1.58,0.31
J1010-0220,Ti II,22,4.95,16,,1.8,0.11
J1010-0220,V I,23,3.93,0,,,
J1010-0220,V II,23,3.93,0,,,
J1010-0220,Cr I,24,5.64,4,,2.01,0.27
J1010-0220,Cr II,24,5.64,1,,2.4,0.33
J1010-0220,Mn I,25,5.43,1,,1.77,0.28
J1010-0220,Fe I,26,7.5,78,,4.02,0.26
J1010-0220,Fe II,26,7.5,7,,4.47,0.11
J1010-0220,Co I,27,4.99,0,,,
J1010-0220,Ni I,28,6.22,1,,2.5,0.25
J1010-0220,Zn I,30,4.56,2,,1.67,0.24
J1010-0220,Sr II,38,2.87,2,,-0.97,0.25
J1010-0220,Y II,39,2.21,3,,-1.34,0.19
J1010-0220,Zr II,40,2.58,2,,-0.62,0.26
J1010-0220,Ba II,56,2.18,4,,-1.27,0.16
J1010-0220,La II,57,1.1,2,,-1.76,0.22
J1010-0220,Ce II,58,1.58,2,,-1.35,0.5
J1010-0220,Pr II,59,0.72,0,,,
J1010-0220,Nd II,60,1.42,2,,-1.41,0.25
J1010-0220,Sm II,62,0.96,2,,-1.53,0.5
J1010-0220,Eu II,63,0.52,3,,-2.12,0.2
J1010-0220,Dy II,66,1.1,0,,,
J1010-0220,Pb I,82,2.04,1,<,-0.01,
J1015-0238,Li I,3,,1,<,0.05,
J1015-0238,C-H,6,8.43,1,,5.0,0.2
J1015-0238,C-N,7,7.83,0,,,
J1015-0238,O I,8,8.69,1,<,6.7,
J1015-0238,Na I,11,6.24,2,,3.9,0.38
J1015-0238,Mg I,12,7.6,3,,5.19,0.18
J1015-0238,Al I,13,6.45,1,,2.92,0.39
J1015-0238,Si I,14,7.51,1,,5.07,0.43
J1015-0238,K I,19,5.03,2,,2.8,0.21
J1015-0238,Ca I,20,6.34,15,,3.82,0.17
J1015-0238,Sc II,21,3.15,9,,0.31,0.11
J1015-0238,Ti I,22,4.95,16,,2.35,0.29
J1015-0238,Ti II,22,4.95,25,,2.58,0.11
J1015-0238,V I,23,3.93,3,,0.94,0.31
J1015-0238,V II,23,3.93,2,,1.22,0.17
J1015-0238,Cr I,24,5.64,7,,2.77,0.27
J1015-0238,Cr II,24,5.64,2,,3.07,0.15
J1015-0238,Mn I,25,5.43,3,,2.38,0.23
J1015-0238,Fe I,26,7.5,115,,4.76,0.24
J1015-0238,Fe II,26,7.5,10,,4.77,0.11
J1015-0238,Co I,27,4.99,1,,2.06,0.34
J1015-0238,Ni I,28,6.22,6,,3.56,0.21
J1015-0238,Zn I,30,4.56,2,,2.24,0.11
J1015-0238,Sr II,38,2.87,2,,0.31,0.18
J1015-0238,Y II,39,2.21,3,,-0.8,0.12
