Simbad_Identifier,RA_hms,DEC_dms,[Fe/H],[C/Fe],ul[C/Fe],ecc,Z_max,Reference
HE 0017-4346,00:20:16.2080,-43:30:18.055,-3.07,3.02,,0.52,2.70,Cohen+2013
HE 0023-4825,00:25:50.3198,-48:08:27.012,-2.06,0.27,,0.53,1.61,Barklem+2005
HD   2796,00:31:16.9147,-16:47:40.790,-2.45,-0.43,,0.68,1.13,Cayrel+2004
UCAC4 342-001270,01:07:31.2348,-21:46:06.492,-2.55,,,0.11,3.28,Cohen+2013
CD-49   506,01:49:07.9444,-49:11:42.923,-2.65,,,0.49,2.75,Ruchti+2011
CD-54   503,02:21:55.5935,-54:10:14.472,-2.09,0.00,,0.33,3.16,Holmbeck+2020
BPS CS 31079-0028,03:01:00.6866,+06:16:31.808,-2.84,,,0.62,1.34,Lai+2008
HD  23798,03:46:45.7220,-30:51:13.333,-2.22,,,0.54,0.83,Navarrete+2015
TYC 7577-1592-1,04:01:48.9752,-37:57:53.396,-2.28,-0.30,,0.52,2.61,Holmbeck+2020
BPS CS 22186-0023,04:19:45.5332,-36:51:35.980,-3.04,0.21,,0.52,3.58,Roederer+2014
UCAC4 371-007255,05:10:35.4729,-15:51:38.255,-2.43,,,0.60,0.74,Cohen+2013
TYC 7062-1120-1,05:51:42.1380,-33:27:33.819,-2.46,,,0.68,1.71,Holmbeck+2020
TYC 7602-1143-1,05:52:15.7868,-39:53:18.441,-2.05,,,0.69,1.33,Ruchti+2011
SDSS J063055.58+255243.7,06:30:55.5706,+25:52:43.780,-3.05,,,0.50,0.74,Aoki+2013
TYC 6613-815-1,09:29:49.7281,-29:05:59.044,-2.32,0.11,,0.46,0.92,Sakari+2018
HD  84903,09:47:19.2015,-41:27:04.199,-2.67,-0.42,,0.35,2.40,Holmbeck+2020
HE 0945-1435,09:47:50.6778,-14:49:06.861,-3.87,,2.00,0.57,0.76,Hansen+2015
UCAC3 215-112497,10:29:15.1489,+17:29:27.924,-4.97,,0.74,0.06,2.47,Caffau+2011
SDSS J105519.28+232234.0,10:55:19.2803,+23:22:34.010,-4.00,,0.70,0.45,2.20,Aguado+2017
TYC 4928-1438-1,11:18:35.8831,-06:50:45.020,-3.73,0.08,,0.31,4.71,Hollek+2011
UCAC4 223-060458,11:41:08.8526,-45:35:28.354,-2.32,,,0.63,1.33,Ruchti+2011
UCAC4 374-062461,11:58:01.2775,-15:22:17.852,-2.41,0.62,,0.38,3.62,Sakari+2018
SDSS J120441.38+120111.5,12:04:41.3884,+12:01:11.514,-4.34,,1.45,0.39,3.35,Placco+2015
BPS BS 16928-0053,12:22:28.0240,+34:11:31.690,-3.07,-0.16,,0.61,3.93,Lai+2008
2MASS J12450268-0738469,12:45:02.6808,-07:38:47.103,-3.16,2.53,,0.50,4.00,Aoki+2013
SDSS J124719.46-034152.4,12:47:19.4672,-03:41:52.504,-4.11,,1.68,0.24,1.71,Caffau+2013
HE 1300+0157,13:02:56.2443,+01:41:52.080,-3.78,1.24,,0.26,2.80,Frebel+2007a
TYC 4961-1053-1,13:19:47.0110,-04:23:10.342,-3.10,-0.52,,0.30,4.50,Hollek+2011
UCAC4 452-052732,13:22:35.3538,+00:22:32.680,-3.38,,,0.45,2.98,Cohen+2013
HD 119516,13:43:26.7251,+15:34:31.069,-2.16,,,0.52,1.07,For+2010
