# In the paper, stellar mass is *10^3 M_sun and progenitor mass is *10^4 M_sun (both are in M_sun units now)
Name,Distance,Length,Width,Stellar Mass,VMag,e_VMag,mu_V,Progenitor Mass
Tucana III,25.1,2.1,79,3800,-3.8,0.4,32.0,80000
ATLAS,22.9,9.0,96,7400,-4.5,0.4,33.0,120000
Molonglo,22.9,3.0,128,3500,-3.7,0.4,33.0,300000
Phoenix,19.1,4.5,53,2800,-3.6,0.4,32.6,30000
Indus,16.6,5.9,240,34000,-6.2,0.4,31.9,6500000
Jhelum,13.2,6.7,267,13000,-5.1,0.4,33.3,13000000
Ravi,22.9,6.6,288,10400,-5.0,0.4,33.4,5200000
Chenab,39.8,12.9,493,18300,-5.7,0.4,34.1,7800000
Elqui,50.1,8.2,472,10400,-4.9,0.4,34.3,3200000
Aliqa Uma,28.8,5.0,131,2300,-3.4,0.4,33.8,180000
Turbio,16.6,4.3,72,3500,-3.9,0.4,32.6,100000
Willka Yaku,34.7,3.9,127,4600,-4.1,0.4,32.9,140000
Turranburra,27.5,8.1,288,7600,-4.7,0.4,34.0,1800000
Wambelong,15.1,3.7,106,1600,-3.0,0.4,33.7,260000
Palca,36.3,36.3,,,,,,
