Table 7 
Phosphorus Abundances


Star	log epsilon (P)	[P/Fe]	
BD+44493	<1.83	< +0.25	
G64-12	2.28 (0.34)	+0.15 (0.26)	
HD 2454	5.06 (0.27)	+0.07 (0.21)	
HD 16220	4.91 (0.26)	-0.19 (0.20)	
HD 43318	5.03 (0.26)	-0.14 (0.20)	
HD 76932	4.93 (0.29)	+0.44 (0.20)	
HD 94028	4.41 (0.29)	+0.61 (0.21)	
HD 107113	5.06 (0.26)	+0.24 (0.20)	
HD 108317	2.83 (0.35)	-0.14 (0.20)	
HD 128279	3.08 (0.36)	+0.04 (0.22)	
HD 140283	2.55 (0.30)	-0.21 (0.19)	
HD 155646	5.11 (0.25)	-0.14 (0.19)	
HD 160617	3.56 (0.27)	+0.07 (0.17)	
HD 211998	3.78 (0.33)	-0.13 (0.21)	
