Table 6 
Mean Abundances in CS 22877-001


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	106	4.19	-3.31	0.06	0.15	0.00	0.00	
Fe II	10	4.26	-3.24	0.07	0.15	0.00	0.00	
Li I	1	0.66	 ... 	0.09	0.16	0.11	0.19	
C (CH)	1	6.22	1.03	0.15	0.25	0.19	0.19	
N (NH)	1	4.44	-0.15	0.30	0.36	0.32	0.32	
O I	2	6.60	1.21	0.18	0.22	0.19	0.25	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	8	4.67	0.38	0.05	0.16	0.09	0.18	
Al I	1	2.41	-0.73	0.09	0.29	0.23	0.29	
Si I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	9	3.41	0.37	0.11	0.17	0.13	0.20	
Sc II	5	-0.33	-0.24	0.07	0.15	0.18	0.10	
Ti I	15	1.71	0.06	0.08	0.15	0.10	0.19	
Ti II	25	1.78	0.07	0.07	0.15	0.18	0.10	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	0.53	-0.17	0.25	0.29	0.30	0.26	
Cr I	10	2.12	-0.22	0.08	0.16	0.10	0.19	
Cr II	3	2.45	0.05	0.12	0.18	0.20	0.14	
Mn I	2	1.67	-0.45	0.08	0.16	0.11	0.19	
Mn II	4	1.63	-0.57	0.16	0.21	0.23	0.17	
Co I	7	1.58	-0.10	0.14	0.21	0.16	0.23	
Ni I	7	2.85	-0.07	0.12	0.22	0.16	0.23	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	1.48	0.22	0.12	0.18	0.14	0.21	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<1.90	<2.69	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-0.60	-0.23	0.04	0.25	0.25	0.26	
Y II	2	-1.58	-0.55	0.12	0.18	0.21	0.14	
Zr II	3	-0.78	-0.13	0.12	0.18	0.21	0.14	
Nb II	1	<-0.24	<1.54	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<-0.68	<0.75	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<0.22	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	1	<0.77	<2.01	 ... 	 ... 	 ... 	 ... 	
Ba II	2	-1.63	-0.58	0.05	0.15	0.17	0.10	
La II	2	-2.23	-0.09	0.18	0.23	0.25	0.19	
Ce II	1	<-0.95	<0.71	 ... 	 ... 	 ... 	 ... 	
Pr II	2	<-2.40	<0.12	 ... 	 ... 	 ... 	 ... 	
Nd II	1	-1.94	-0.12	0.12	0.18	0.21	0.14	
Sm II	1	<-1.78	<0.50	 ... 	 ... 	 ... 	 ... 	
Eu II	2	-2.76	-0.05	0.13	0.19	0.21	0.15	
Gd II	2	<-1.30	<0.87	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-2.14	<0.80	 ... 	 ... 	 ... 	 ... 	
Dy II	2	-1.99	0.15	0.19	0.23	0.25	0.20	
Ho II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Er II	1	-2.10	0.22	0.29	0.33	0.34	0.30	
Tm II	2	<-2.36	<0.78	 ... 	 ... 	 ... 	 ... 	
Yb II	1	-2.55	-0.23	0.19	0.23	0.25	0.20	
Hf II	2	<-1.27	<1.12	 ... 	 ... 	 ... 	 ... 	
Ir I	1	<-0.75	<1.18	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.40	<1.67	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
