Name,Species,N,l_logepsX_w,logepsX_w,sigma_w,logepsX,sigma_stdev,sigma_SP,sigma_tot,sigma_adopted,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
DES J033523-540407,C-H,2,,5.97,0.01,5.97,0.01,0.14,0.14,0.14,,-2.46,,0.58
DES J033523-540407,C-N,1,,6.23,0.05,6.23,,0.04,0.06,0.20,,-1.60,,1.44
DES J033523-540407,O I,2,,7.14,0.09,7.18,0.12,0.07,0.11,0.11,,-1.55,,1.49
DES J033523-540407,Na I,2,,3.52,0.02,3.52,0.02,0.14,0.14,0.14,,-2.72,,0.33
DES J033523-540407,Mg I,10,,5.03,0.05,4.95,0.15,0.07,0.09,0.10,,-2.57,,0.47
DES J033523-540407,Al I,2,,2.94,0.27,2.75,0.38,0.08,0.28,0.28,,-3.51,,-0.47
DES J033523-540407,Si I,2,,4.92,0.02,4.92,0.02,0.04,0.04,0.10,,-2.59,,0.46
DES J033523-540407,K I,1,,2.40,0.01,2.40,,0.04,0.05,0.20,,-2.63,,0.41
DES J033523-540407,Ca I,21,,3.57,0.03,3.59,0.11,0.04,0.05,0.10,,-2.77,,0.27
DES J033523-540407,Sc II,9,,0.10,0.06,0.19,0.19,0.06,0.09,0.10,,-3.05,,-0.19
DES J033523-540407,Ti I,23,,2.04,0.02,2.06,0.11,0.07,0.07,0.10,,-2.91,,0.13
DES J033523-540407,Ti II,44,,2.36,0.02,2.35,0.13,0.06,0.07,0.10,,-2.59,,0.27
DES J033523-540407,V I,1,,0.70,0.02,0.70,,0.09,0.09,0.20,,-3.23,,-0.19
DES J033523-540407,V II,1,,1.14,0.03,1.14,,0.05,0.06,0.20,,-2.79,,0.07
DES J033523-540407,Cr I,17,,2.42,0.03,2.41,0.12,0.07,0.07,0.10,,-3.22,,-0.18
DES J033523-540407,Cr II,1,,2.99,0.02,2.99,,0.03,0.04,0.20,,-2.65,,0.21
DES J033523-540407,Mn I,7,,1.96,0.03,1.94,0.08,0.09,0.09,0.10,,-3.47,,-0.43
DES J033523-540407,Fe I,222,,4.46,0.01,4.45,0.14,0.07,0.07,0.10,,-3.04,,0.00
DES J033523-540407,Fe II,25,,4.64,0.02,4.62,0.12,0.04,0.05,0.10,,-2.86,,0.00
DES J033523-540407,Co I,6,,1.88,0.06,1.97,0.15,0.09,0.11,0.11,,-3.11,,-0.07
DES J033523-540407,Ni I,19,,3.19,0.03,3.20,0.10,0.05,0.06,0.10,,-3.03,,0.01
DES J033523-540407,Cu I,1,<,1.08,,,,,,,<,-3.11,<,-0.06
DES J033523-540407,Zn I,2,,1.96,0.03,1.97,0.03,0.03,0.04,0.10,,-2.60,,0.44
DES J033523-540407,Rb I,1,<,1.39,,,,,,,<,-1.13,<,-1.92
DES J033523-540407,Sr II,2,,0.45,0.02,0.45,0.02,0.15,0.15,0.15,,-2.42,,0.44
DES J033523-540407,Y II,6,,-0.27,0.04,-0.25,0.09,0.10,0.11,0.11,,-2.48,,0.38
DES J033523-540407,Zr II,6,,0.39,0.03,0.41,0.06,0.07,0.07,0.10,,-2.19,,0.67
DES J033523-540407,Mo I,1,,-0.12,0.06,-0.12,,0.16,0.17,0.30,,-2.00,,1.04
DES J033523-540407,Ru I,1,,-0.12,0.06,-0.12,,0.03,0.07,0.30,,-1.88,,1.17
DES J033523-540407,Rh I,1,<,0.11,,,,,,,<,-0.80,<,-2.25
DES J033523-540407,Ba II,5,,0.12,0.03,0.14,0.05,0.16,0.16,0.16,,-2.06,,0.80
DES J033523-540407,La II,6,,-0.61,0.02,-0.62,0.05,0.06,0.06,0.10,,-1.71,,1.15
DES J033523-540407,Ce II,26,,-0.34,0.02,-0.34,0.12,0.07,0.07,0.10,,-1.92,,0.94
DES J033523-540407,Pr II,9,,-0.92,0.03,-0.98,0.09,0.07,0.07,0.10,,-1.64,,1.22
DES J033523-540407,Nd II,58,,-0.24,0.02,-0.24,0.12,0.07,0.07,0.10,,-1.66,,1.19
