Name,Simbad_Identifier,RA_hms,DEC_dms,Teff,logg,log_L,[Fe/H],ul[N/Fe],[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,ul[Sr/Fe],[Sr/Fe],ul[Ba/Fe],[Ba/Fe],I/O,Reference,Ref,epsc_c,MP_key,Ncap_key,C_key,epsc,epsc_f,[C/H],[C/H]f,[Sr/H],ul[Sr/H],[Ba/H],ul[Ba/H],[Sr/Ba],ul[Sr/Ba]
BD+02:3375,BD +02 3375,17:39:45.5948,+02:24:59.606,5926,4.63,-0.24,-2.08,,,-0.04,0.0,-0.04,,,,,1,Lai+2007,LAI07,0.0,VMP,,,6.31,6.31,-2.12,-2.12,,,,,,
BD+03:740,BD +03 740,05:01:16.6226,+04:06:37.021,6485,4.31,0.23,-2.7,0.29,,0.59,0.0,0.59,,,,-0.42,1,Yong+2013,YON13,0.0,VMP,,,6.32,6.32,-2.1100000000000003,-2.1100000000000003,,,-3.12,,,
BD+06:0648,BD +06 0648,04:13:13.1126,+06:36:01.768,4400,0.9,2.97,-2.09,,,-0.19,0.64,0.45,,,,,1,Aoki+2008,AOK08,0.64,VMP,,,6.15,6.79,-2.28,-1.64,,,,,,
BD+10:2495,BD +10 2495,12:59:19.9306,+09:14:35.634,4710,1.3,2.69,-2.31,,,-0.3,0.62,0.32,,,,,1,Roederer+2010,ROE10,0.62,VMP,,,5.82,6.44,-2.61,-1.99,,,,,,
BD+23:3130,BD +23 3130,17:32:41.6247,+23:44:11.625,5262,2.76,1.42,-2.52,,-0.54,0.11,0.01,0.12,,,,-0.56,1,Yong+2013,YON13,0.01,VMP,,,6.02,6.03,-2.41,-2.4,,,-3.08,,,
BD+24:1676,BD +24 1676,07:30:41.2662,+24:05:10.248,6241,3.81,0.67,-2.46,0.21,,0.37,0.0,0.37,,-0.05,,-0.33,1,Lai+2008,LAI08,0.0,VMP,,,6.34,6.34,-2.09,-2.09,-2.51,,-2.79,,0.28,
BD+44:493,BD +44 493,02:26:49.7390,+44:57:46.523,5430,3.4,0.84,-3.8,,0.32,1.35,0.0,1.35,,,,-0.6,1,Ito+2013,ITO13,0.0,EMP,,NO,5.98,5.98,-2.4499999999999997,-2.4499999999999997,,,-4.3999999999999995,,,
BD-04:3208,BD -04 3208,12:07:15.0721,-05:44:01.612,6360,4.01,0.5,-2.27,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,0.0,VMP,,,6.31,6.31,-2.12,-2.12,,,,,,
BD-18:0271,BD -18 0271,01:37:18.8808,-17:29:03.907,4245,0.7,3.11,-2.35,,,-0.64,0.77,0.13,,,,,1,Melendez+2002,MEL02,0.77,VMP,,,5.44,6.21,-2.99,-2.22,,,,,,
BD-18:5550,BD -18 5550,19:58:49.7371,-18:12:11.140,4558,0.81,3.12,-3.2,,-0.36,-0.02,0.77,0.75,,,,-0.74,1,Yong+2013,YON13,0.77,EMP,,NO,5.21,5.98,-3.22,-2.45,,,-3.9400000000000004,,,
