Name,Teff,logg,log_L,[Fe/H],ul[N/Fe],[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,ul[Sr/Fe],[Sr/Fe],ul[Ba/Fe],[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key,epsc,epsc_f,[C/H],[C/H]f,[Sr/H],ul[Sr/H],[Ba/H],ul[Ba/H],[Sr/Ba]
BD+02:3375,5926,4.63,-0.24,-2.08,,,-0.04,0.0,-0.04,,,,,1,Lai+2007,LAI07,VMP,,,6.31,6.31,-2.12,-2.12,,,,,
BD+03:740,6485,4.31,0.23,-2.7,0.29,,0.59,0.0,0.59,,,,-0.42,1,Yong+2013,YON13,VMP,,,6.32,6.32,-2.1100000000000003,-2.1100000000000003,,,-3.12,,
BD+06:0648,4400,0.9,2.97,-2.09,,,-0.19,0.64,0.45,,,,,1,Aoki+2008,AOK08,VMP,,,6.15,6.79,-2.28,-1.64,,,,,
BD+10:2495,4710,1.3,2.69,-2.31,,,-0.3,0.62,0.32,,,,,1,Roederer+2010,ROE10,VMP,,,5.82,6.44,-2.61,-1.99,,,,,
BD+17:3248,5240,2.72,1.45,-2.17,,0.65,-0.37,0.01,-0.36,,,,0.69,0,Yong+2013,YON13,VMP,,,5.89,5.9,-2.54,-2.53,,,-1.48,,
BD+23:3130,5262,2.76,1.42,-2.52,,-0.54,0.11,0.01,0.12,,,,-0.56,1,Yong+2013,YON13,VMP,,,6.02,6.03,-2.41,-2.4,,,-3.08,,
BD+24:1676,6241,3.81,0.67,-2.46,0.21,,0.37,0.0,0.37,,-0.05,,-0.33,1,Lai+2008,LAI08,VMP,,,6.34,6.34,-2.09,-2.09,-2.51,,-2.79,,0.28
BD+44:493,5430,3.4,0.84,-3.8,,0.32,1.35,0.0,1.35,,,,-0.6,1,Ito+2013,ITO13,EMP,,NO,5.98,5.98,-2.4499999999999997,-2.4499999999999997,,,-4.3999999999999995,,
BD-04:3208,6360,4.01,0.5,-2.27,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,VMP,,,6.31,6.31,-2.12,-2.12,,,,,
BD-18:0271,4245,0.7,3.11,-2.35,,,-0.64,0.77,0.13,,,,,1,Melendez+2002,MEL02,VMP,,,5.44,6.21,-2.99,-2.22,,,,,
BD-18:5550,4558,0.81,3.12,-3.2,,-0.36,-0.02,0.77,0.75,,,,-0.74,1,Yong+2013,YON13,EMP,,NO,5.21,5.98,-3.22,-2.45,,,-3.9400000000000004,,
BS 16023-046,6571,4.25,0.32,-2.83,,,0.55,0.0,0.55,,-0.08,,,1,Yong+2013,YON13,VMP,,,6.15,6.15,-2.2800000000000002,-2.2800000000000002,-2.91,,,,
BS 16033-008,5300,2.7,1.49,-2.84,,,0.61,0.01,0.62,,-0.31,,-1.2,1,Aoki+2005,AOK05,VMP,,,6.2,6.21,-2.23,-2.2199999999999998,-3.15,,-4.04,,0.8899999999999999
BS 16076-006,5566,3.32,0.96,-3.51,,,0.34,0.0,0.34,0.1,,-1.0,,1,Yong+2013,YON13,EMP,,,5.26,5.26,-3.17,-3.17,,-3.4099999999999997,,-4.51,
BS 16077-007,6486,4.31,0.23,-2.77,0.8,,0.6,0.0,0.6,,0.21,,-0.23,1,Yong+2013,YON13,VMP,,,6.26,6.26,-2.17,-2.17,-2.56,,-3.0,,0.44
BS 16080-054,4902,1.75,2.31,-2.94,,0.75,-0.45,0.18,-0.27,,0.38,,-0.21,1,Yong+2013,YON13,VMP,,,5.04,5.22,-3.39,-3.21,-2.56,,-3.15,,0.59
BS 16082-129,4868,1.67,2.38,-2.84,,,0.29,0.25,0.54,,-0.69,,-0.97,1,Yong+2013,YON13,VMP,,,5.88,6.13,-2.55,-2.3,-3.53,,-3.8099999999999996,,0.28
