Name,Simbad_Identifier,RA_hms,DEC_dms,gmag,rmag,imag,zmag,MJD,t_exp,SNR4500,SNR6500,Vel,e_Vel,Instrument
TucV-1,Gaia DR3 6486893242650962944,23:37:07:09,-63:06:10.2,17.25,16.44,16.13,15.99,59437.15,10800,22,51,-23.9,0.6,MIKE
,,,,,,,59552.03,900,,,,-42.0,1.2,MIKE
,,,,,,,59812.31,300,,,,-23.8,1.6,MIKE
,,,,,,,59881.02,360,,,,-37.4,1.2,IMACS
,,,,,,,60095.41,900,,,,-26.1,1.0,MIKE
,,,,,,,60106.39,780,,,,-26.3,1.1,IMACS
,,,,,,,60113.27,1200,,,,-24.0,1.4,MIKE
,,,,,,,60177.43,2200,,,,-21.2,1.4,MIKE
,,,,,,,60250.02,600,,,,-33.7,1.7,IMACS
,,,,,,,60281.06,960,,,,-37.7,1.1,MIKE
,,,,,,,60306.06,960,,,,-41.8,1.3,MIKE
TucV-2,Gaia DR3 6486519060804598016,23:36:17:58,-63:09:37.6,18.48,17.80,17.56,17.43,59437.23,19900,19,44,-33.8,0.6,MIKE
,,,,,,,59813.13,11700,,,,-34.5,0.6,MIKE
TucV-3,Gaia DR3 6486878326228216320,23:37:46.33,-63:13:29.2,19.41,18.84,18.63,18.54,59437.39,9900,15,33,-35.4,1.6,MIKE
,,,,,,,59551.17,10800,,,,-36.1,0.9,MIKE
,,,,,,,59552.14,8400,,,,-36.4,1.7,MIKE
,,,,,,,59813.31,18120,,,,-36.0,0.9,MIKE
