Found,JINA_ID,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
False,,BD+02:3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD+03:740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD+06:0648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD+10:2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD+17:3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD+23:3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD+24:1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD+44:493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD-01:2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD-04:3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD-18:0271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BD-18:5550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16023-046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16033-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16076-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16077-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16080-054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16082-129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16083-172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16084-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16085-050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16089-013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16467-062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16469-075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16472-018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16477-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16543-092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16543-097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16547-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16550-087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16928-053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16929-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16934-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16945-054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16968-061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 16981-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 17139-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 17439-065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 17569-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 17570-063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,BS 17583-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CD-35:14849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CD-38:245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CD-42:14278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22166-016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22169-035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22172-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22174-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22174-012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22175-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22177-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22182-033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22183-015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22183-031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22185-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22186-023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22186-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22189-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22872-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22873-055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22873-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22873-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22877-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,CS 22877-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
