Name,lambda,chi,loggf,EW-fnx_06_019,e_EW-fnx_06_019,logepsX-fnx_06_019,EW-fnx0579x1,e_EW-fnx0579x1,logepsX-fnx0579x1
Al I,3961.52,0.01,-0.323,(162.4),3.56,,
Ba II,4934.076,0.0,-0.150,(192.8),-0.39,(93.2),-1.35
Ba II,5853.668,0.6,-1.000,(70.4),-0.65,(35.9),-1.17
Ba II,6141.713,0.7,-0.076,(126.8),-0.45,(83.9),-1.23
Ba II,6496.897,0.6,-0.377,(136.7),-0.22,(81.5),-1.10
C I,4325.0,,,,5.05,,5.46
Ca I,5581.965,2.52,-0.555,,,25.2,3.6,3.86
Ca I,5588.749,2.53,0.358,,,67.7,6.1,3.73
Ca I,5590.114,2.52,-0.571,,,31.9,3.8,4.02
Ca I,5601.277,2.53,-0.523,,,27.8,4.3,3.89
Ca I,5857.451,2.93,0.240,33.6,4.2,3.80,41.0,5.0,3.90
Ca I,6102.723,1.88,-0.793,55.4,5.6,3.78,71.1,6.3,3.97
Ca I,6122.217,1.89,-0.316,88.3,7.4,3.81,98.8,9.1,3.93
Ca I,6162.173,1.9,-0.090,105.6,7.5,3.87,,
Ca I,6169.042,2.52,-0.797,,,20.6,3.9,3.95
Ca I,6169.563,2.53,-0.478,27.4,3.6,3.84,31.4,3.4,3.87
Ca I,6439.075,2.53,0.390,79.3,8.4,3.82,88.5,7.6,3.93
Ca I,6717.681,2.71,-0.524,,,21.6,4.4,3.91
Co I,4121.318,0.92,-0.320,105.6,6.3,2.12,(130.5),2.07
Cr I,5296.691,0.98,-1.360,36.9,4.7,2.51,48.9,5.6,2.62
Cr I,5298.271,0.98,-1.140,,,63.6,6.3,2.63
Cr I,5345.796,1.0,-0.896,56.2,6.0,2.39,72.5,5.4,2.55
Cr I,5348.314,1.0,-1.210,34.4,4.8,2.34,59.6,4.5,2.66
Cr I,5409.784,1.03,-0.670,64.2,5.7,2.31,90.3,8.4,2.64
Cu I,5105.537,1.39,-1.542,,<0.41,(20.7),0.82
Dy II,3944.68,0.0,0.000,,-0.74,,
Dy II,4103.31,0.0,0.000,,-0.74,,
Dy II,4449.7,0.0,0.000,,-0.74,,
Eu II,4129.708,0.0,0.220,(84.6),-1.56,,
Eu II,4205.042,0.0,0.210,(143.7),-1.65,,
Fe I,4859.741,2.88,-0.764,73.9,6.3,4.50,79.6,7.8,4.58
Fe I,4871.318,2.87,-0.363,100.4,9.8,4.60,,
Fe I,4872.138,2.88,-0.567,87.0,8.3,4.56,106.4,9.9,4.93
Fe I,4890.755,2.88,-0.394,101.7,8.3,4.66,104.8,9.7,4.71
