Star,U_LSR,U_LSR_err,V_LSR,V_LSR_err,W_LSR,W_LSR_err
BD +191185,234.3,9.3,-240.3,45.8,90.5,14.3
BD +521601,-42.1,9.9,-21.3,2.5,-60,3.9
BD -010306,-201.1,31.9,-203.2,34.4,65.2,13.7
BD -012582,66,11.2,-163.7,27.4,-106.7,18
G005-001,34.5,2.9,-125.8,19.7,-88.7,16.8
G009-036,179.8,24.1,-173.3,31.4,52,13.9
G017-025,-88.3,10.1,-172.1,23.6,-137.1,9.6
G023-014,,,,,,
G028-043,180.7,78.1,-263.1,84.4,-22.4,49.9
G029-025,-112.4,19,-108.6,7.8,17.5,7.5
G040-008,57.8,3.6,-131.1,23.8,-64.3,7.5
G058-025,-34.5,2.2,-139.3,20.1,7.4,8.1
G059-001,-191.3,32.1,-78.1,13.3,-41.8,7.3
G063-046,78.8,30.8,-52.3,19.5,-56.3,11.7
G068-003,13.9,3.7,-143.8,24.9,-37.1,34.1
G074-005,-59.8,7.3,-77.1,15,-47.1,5.9
G090-025,265.2,9.8,-220.5,43.1,-91.6,3.1
G095-57A,-94.2,8.5,-114.7,22.6,-77.4,11.4
G095-57B,-95.7,8.5,-116.2,22.9,-80,11.8
G102-020,-17.6,0.9,-72.7,11.2,60.2,10.7
G102-027,-24.4,4.6,-59.9,18.6,-16.8,4.3
G113-022,32,25,-89.6,19.8,56.2,14
G122-051,279.6,42.1,-158.6,25.5,-12.6,13.6
G123-009,-66.8,33,-107.2,40,-22.4,4.9
G126-036,85.4,32.2,-89,1.7,-29,19.7
G126-062,-303.4,41.9,-276.9,5.3,5.2,23.8
G140-046,114.4,19.2,-192.6,31.9,41.7,7
G153-021,-99.1,7.6,-56.2,8.8,40.8,12.7
G176-053,-210.1,31.1,-245.6,43.7,53.6,0.7
G179-022,290.9,43.3,-147.3,31.1,75.9,1.6
G180-024,108.7,25,-268.5,29,-28.4,15.4
G188-022,128.7,24.2,-106.8,3.1,54.7,4
G191-055,252.4,1.4,-116.7,30.6,48,35
G192-043,-265.2,37.2,-116.3,65.3,12.3,21.3
G221-007,-140.8,22.7,-105.9,19,-51.5,9
HD 002665,158.6,5.1,-352.5,4.7,-37.3,12.6
HD 003008,-153.6,61,-286.1,93.5,14.6,22.5
HD 006755,-129.4,52.1,-478.4,36.2,79.9,12.1
HD 006833,127,5.7,-202.5,4.4,62.3,10
HD 008724,2.2,9.2,-330.4,46.2,-81.6,26.8
HD 018768,,,,,,
HD 021581,-103.4,2.3,-194.3,31.7,-104.2,1.9
HD 022879,-105.2,1.5,-84.9,1.5,-41.4,1.6
HD 023798,-71.1,6.8,-108.3,11.6,-13.6,9.9
HD 025329,-37.2,11,-190.9,30.2,19.8,2.2
HD 025532,63.3,14.2,-331.6,109.8,4.1,13.3
HD 026297,-45.8,7.1,-98.8,16,72.6,14.5
HD 029574,204.1,36.2,-164.1,25.5,-172.8,26.2
HD 030649,-57.2,2.2,-81,3.1,-10,0.4
HD 037828,-100.7,16.4,-168.4,25.2,-49,7
HD 038007,-72.3,5.5,-19.1,2.6,9.8,1.2
HD 044007,-64.8,19.4,-197.1,31,37.3,27.6
HD 062301,-7.7,1.8,-108.5,3.6,-22.7,1.1
HD 063791,-7.4,32.5,-144.8,37.6,-117.4,22
HD 074462,108.7,2.7,-270.6,69.8,41.1,49.4
HD 078558,-66.1,1.6,-67.4,1.8,-66.5,3
HD 082590,186,43.1,-341.6,26.6,-43.4,22.7
HD 085773,-38.3,16.8,-281.6,52.6,-269,116.8
HD 091347,50.6,1.5,27.7,1,-2.5,1.7
HD 101063,-228.3,45,-284,37.7,-2.8,25.5
HD 103036,,,,,,
HD 103545,-130.7,21.5,-325.8,43.2,54.8,18.7
HD 105546,-16.4,1.9,-113.2,20.3,68.5,8.9
HD 105755,,,,,,
HD 106516,54,8.7,-73.8,11.5,-58.7,10.9
HD 107752,-143.6,27.4,-415.4,58.6,110.7,16.7
HD 108317,-137.3,23.2,-110.6,18.1,-20.2,4.6
HD 110184,-43.6,23.8,-159.5,43.7,104.2,10.5
HD 114762,-83,5.3,-69.6,3.8,57.6,2
HD 115444,147.8,24.4,-171,27.4,5.8,7.4
HD 119516,-154.9,12.6,-89.3,17.2,-257.5,3.2
HD 121135,-8.2,11.1,-169.5,24.4,111.3,1.9
