Star,note,Teff_alonso,Teff_IRFM,Teff,logg_calc,logg,Vmic,[FeI/H],N_lines,[FeII/H],N_lines,M_V,d,logeps(La/Eu),[C/Fe]
B+191185,1,,5328,5500,4.19,4.19,1.10,-1.09,14,-1.17,7,5.04,67,0.29,-0.25
B+521601,,4911,4816,4911,2.10,2.10,2.05,-1.40,15,-1.34,7,0.13,541,0.38,-0.3
B-010306,1,,5680,5550,4.19,4.19,1.50,-1.13,10,-1.13,8,5.04,62,0.39,-0.15
B-012582,,5148,5100,5148,2.86,2.86,1.20,-2.21,7,-2.09,7,1.78,364,0.98,0.8
G005-001,1,,5612,5500,4.32,4.32,0.80,-1.24,15,-1.28,7,5.26,91,0.29,-0.05
G009-036,,5625,5265,5625,4.57,4.57,0.65,-1.17,10,-1.01,8,5.81,167,0.42,-0.25
G017-025,3,4966,4856,4966,4.26,4.26,0.80,-1.54,16,-1.44,9,5.88,48,0.54,-0.05
G023-014,1, 2,,4529,5025,4.02,3.00,1.30,-1.64,15,-1.57,7,2.68*,312,0.25,-0.2
G028-043,2,5061,,5061,,4.50,0.80,-1.64,11,-1.55,3,6.39,48,0.31,-0.15
G029-025,1,,5115,5225,4.28,4.28,0.80,-1.09,14,-0.88,8,5.51,112,0.42,-0.05
G040-008,1, 3,,5133,5200,4.08,4.08,0.50,-0.97,18,-0.88,9,5.03,83,0.32,-0.1
G058-025,,6001,5996,6001,4.21,4.21,1.00,-1.40,8,-1.53,7,4.56,52,0.63,0.05
G059-001,,,5299,5922,3.98,3.98,0.40,-0.95,16,-0.99,8,4.23,113,0.42,-0.15
G063-046,2,5705,5701,5705,3.69,4.25,1.30,-0.90,14,-0.89,8,4.94*,74,0.32,0
G068-003,1, 2,,4787,4975,4.59,3.50,0.95,-0.76,19,-0.76,10,3.88*,104,0.33,0
G074-005,,,5668,5668,4.24,4.24,1.50,-1.05,13,-1.23,8,4.96,57,0.34,0.05
G090-025,,5441,5303,5303,4.46,4.46,1.20,-1.78,9,-1.79,4,5.98,28,0.45,-0.05
G095-57A,,,4965,4965,4.40,4.40,0.90,-1.22,17,-1.15,6,6.15,24,0.66,-0.05
G095-57B,1, 3,,4540,4800,4.57,4.57,0.60,-1.06,18,-0.95,5,6.78,24,0.46,-0.1
G102-020,,5254,5223,5254,4.44,4.44,0.90,-1.25,15,-1.21,7,5.90,70,0.30,-0.2
G102-027,1, 2,,5286,5600,2.88,3.75,1.05,-0.59,19,-0.53,12,3.80*,58,0.29,-0.05
G113-022,1, 2,,5616,5525,,4.25,1.10,-1.18,14,-1.00,8,5.15*,75,0.55,-0.15
G122-051,,,4864,4864,4.51,4.51,1.40,-1.43,15,-1.29,6,6.59,9,0.17,-0.05
G123-009,2,,5487,5487,,4.75,1.50,-1.25,14,-1.22,7,6.44*,63,0.42,-0.25
G126-036,2,,5487,5487,,4.50,0.60,-1.06,15,-0.92,9,5.75*,57,0.83,0.15
G126-062,3,5941,5998,5941,3.98,3.98,2.00,-1.59,5,-1.61,7,4.07,119,0.40,-0.05
G140-046,,4980,4959,4980,4.42,4.42,0.70,-1.30,16,-1.34,4,6.25,59,0.95,-0.2
G153-021,1,,5190,5700,4.36,4.36,1.40,-0.70,14,-0.65,10,5.33,92,0.25,-0.2
G176-053,,5593,5710,5593,4.50,4.50,1.20,-1.34,9,-1.39,7,5.72,66,0.24,-0.05
G179-022,,,5082,5082,3.20,3.20,1.20,-1.35,15,-1.27,8,3.05,332,0.27,-0.25
G180-024,,6059,5993,6059,4.09,4.09,0.50,-1.34,6,-1.30,8,4.22,125,0.39,-0.5
G188-022,,,5827,5827,4.27,4.27,1.20,-1.52,7,-1.35,8,4.83,109,0.45,-0.35
