Name,RA_deg,DEC_deg,V,(b-y),S/N,Used
12175,247.81591,12.58238,18.72,0.83,35,*
42241,247.73849,12.78898,18.72,0.82,36,*
41082,247.84564,12.74666,19.05,0.78,23,
42149,247.74718,12.79045,19.21,0.70,25,*
41743,247.78386,12.80170,19.44,0.70,24,*
42795,247.68541,12.82996,19.51,0.67,23,*
40789,247.87404,12.74030,19.52,0.67,20,*
41460,247.80860,12.75741,19.60,0.69,21,*
42096,247.75261,12.82550,19.59,0.66,20,*
40993,247.85432,12.75811,19.73,0.67,20,*
42324,247.73111,12.76968,19.72,0.62,13,*
12729,247.78123,12.52606,19.84,0.67,12,*
40222,247.93108,12.78307,20.01,0.62,11,
42692,247.69607,12.75570,20.02,0.63,12,
43688,247.59341,12.86022,20.04,0.61,8,
43428,247.61721,12.75078,20.09,0.60,11,
11239,247.87333,12.58958,20.11,0.61,9,
41912,247.76877,12.77069,20.15,0.64,8,
42008,247.76005,12.80071,20.21,0.61,9,
41371,247.81831,12.83070,20.23,0.63,10,
