Table 6 
Lithium Abundances of SkyMapper Stars


	EW	A(Li)	A(Li)	
Star	(mAring)	(LTE)	(NLTE)	
SMSS J002148.06-471132.1	25.1	0.92	1.02	
SMSS J005953.98-594329.9	70.1	2.00	1.97	
SMSS J010839.58-285701.5	16.1	0.80	0.89	
SMSS J015941.53-781408.7	16.2	0.76	0.85	
SMSS J024858.41-684306.4	12.3	0.75	0.83	
SMSS J031556.09-473442.1	32.7	1.08	1.13	
SMSS J040148.04-743537.3	13.0	0.73	0.80	
SMSS J051008.62-372019.8	15.1	1.00	1.04	
SMSS J062609.83-590503.2	12.0	0.80	0.87	
SMSS J070257.95-600422.4	22.3	0.91	1.02	
SMSS J090247.43-122755.0	10.6	0.72	0.81	
SMSS J105320.99-435300.1	13.6	0.80	0.87	
SMSS J105438.86-435819.9	16.3	0.92	0.99	
SMSS J121353.63-441911.2	24.3	0.85	0.93	
SMSS J125115.37-331448.1	28.1	0.95	1.04	
SMSS J141547.72-414034.0	19.1	1.00	1.06	
SMSS J151101.05-182103.0	30.0	1.30	1.35	
SMSS J155628.74-165533.4	13.1	0.70	0.80	
SMSS J165219.76-253133.7	21.5	1.00	1.08	
SMSS J174922.26-455103.8	24.1	0.85	0.97	
SMSS J190549.33-214945.0	16.1	0.85	0.94	
SMSS J193617.38-790231.4	23.0	1.16	1.21	
SMSS J205313.80-651830.6	17.2	0.76	0.85	
SMSS J215805.81-651327.2	23.8	0.81	0.90	
