CC06122 Car-484  -1.46 0.10  0.20 0.09 0.21 0.22  0.07 0.03  0.29 0.09  0.099 0.026
CC06975          -1.84 0.14  0.27 0.05            0.14 0.06  0.17 0.18  0.215 0.038
CC07452 Car-612  -1.33 0.10 -0.45 0.11           -0.27 0.03 -0.16 0.09 -0.272 0.030
CC08447          -1.48 0.13  0.28 0.23 0.10 0.22  0.08 0.04  0.55 0.13  0.125 0.038
CC08469 Car-705  -1.43 0.10  0.00 0.07 0.42 0.16  0.04 0.03  0.16 0.10  0.037 0.025
CC08615          -1.73 0.11  0.52 0.24 0.56 0.24  0.18 0.05  0.05 0.25  0.189 0.048
CC8695  M12      -1.32 0.10  0.16 0.10 0.14 0.22  0.03 0.04  0.26 0.10  0.069 0.034
CC08788          -1.48 0.13  0.26 0.14 0.06 0.24  0.14 0.07  0.05 0.10  0.132 0.053
CC9000  M3       -1.81 0.10 -0.31 0.05           -0.22 0.03  0.28 0.10 -0.210 0.024
CC09179          -1.78 0.15  0.03 0.38 0.84 0.24 -0.14 0.08 -0.08 0.12 -0.117 0.066
CC09225 Car-769  -1.65 0.10  0.38 0.06 0.28 0.16  0.10 0.05  0.39 0.12  0.243 0.035
CC09226          -1.56 0.13  0.18 0.15 0.34 0.29  0.11 0.06  0.24 0.18  0.130 0.053
CC09430          -2.13 0.15  0.75 0.22            0.14 0.09  0.37 0.21  0.247 0.077
CC09633 Car-5070 -2.24 0.11 -0.17 0.17            0.01 0.07  0.03 0.14 -0.003 0.058
CC09869          -1.26 0.15  0.19 0.04 0.13 0.14  0.06 0.06  0.29 0.23  0.153 0.033
CC09929          -1.50 0.15  0.16 0.08 0.21 0.26  0.24 0.08  0.21 0.17  0.201 0.054
CC10038          -1.30 0.15  0.24 0.25 0.33 0.18 -0.02 0.08  0.35 0.17  0.062 0.070
CC10194          -1.42 0.15  0.15 0.14 0.18 0.27  0.01 0.08  0.23 0.16  0.074 0.064
CC10318 M2       -1.53 0.10  0.15 0.05 0.31 0.16  0.06 0.04  0.33 0.09  0.114 0.029
CC10414          -1.35 0.14  0.10 0.25 0.29 0.14  0.12 0.07  0.04 0.12  0.100 0.059
CC10686          -1.68 0.13  0.30 0.19 0.24 0.21  0.07 0.03  0.32 0.16  0.084 0.029
CC10944          -1.89 0.12  0.26 0.13 0.44 0.24  0.06 0.06  0.21 0.22  0.102 0.053
CC11217          -1.28 0.14  0.09 0.12 0.11 0.15  0.04 0.04  0.36 0.11  0.079 0.036
CC11560          -1.60 0.14  0.03 0.11            0.15 0.04  0.05 0.10  0.125 0.035
CC12039 Car-1013 -1.56 0.09  0.18 0.06 0.22 0.17 -0.02 0.04  0.36 0.13  0.063 0.031
        Car-524  -1.73 0.14  0.25 0.13 0.41 0.21 -0.01 0.05  0.03 0.13  0.024 0.044
        Car-1087 -2.47 0.16  0.15 0.26           -0.45 0.15  0.53 0.28 -0.153 0.118
        Car-7002 -2.68 0.15 -0.01 0.23           -0.02 0.11  0.45 0.23  0.055 0.091
        M4       -1.49 0.14  0.20 0.17 0.11 0.18  0.04 0.04  0.25 0.10  0.075 0.036
        M10      -1.99 0.14  0.01 0.09           -0.10 0.05  0.03 0.10 -0.057 0.040
