Table 7 
Mean Abundances in CS 22878-101


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	100	3.97	-3.53	0.06	0.15	0.00	0.00	
Fe II	11	4.20	-3.30	0.07	0.15	0.00	0.00	
Li I	1	<0.43	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	4.53	-0.60	0.15	0.25	0.19	0.19	
N (NH)	1	5.48	1.29	0.30	0.36	0.32	0.32	
O I	1	6.39	1.23	0.15	0.20	0.17	0.23	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	8	4.67	0.60	0.06	0.16	0.09	0.17	
Al I	1	2.33	-0.59	0.09	0.30	0.24	0.30	
Si I	1	4.80	0.82	0.16	0.29	0.22	0.25	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	13	3.30	0.49	0.11	0.17	0.12	0.20	
Sc II	6	-0.19	-0.05	0.06	0.15	0.17	0.09	
Ti I	10	1.75	0.33	0.05	0.14	0.08	0.18	
Ti II	24	1.89	0.23	0.05	0.14	0.16	0.09	
V I	1	0.38	-0.02	0.13	0.18	0.14	0.21	
V II	2	0.67	0.04	0.20	0.24	0.26	0.21	
Cr I	5	1.87	-0.24	0.06	0.15	0.08	0.18	
Cr II	1	2.41	0.07	0.09	0.17	0.19	0.12	
Mn I	4	1.41	-0.50	0.08	0.17	0.11	0.20	
Mn II	2	1.37	-0.76	0.16	0.21	0.23	0.17	
Co I	3	1.45	-0.01	0.12	0.19	0.14	0.22	
Ni I	3	2.69	-0.01	0.11	0.19	0.13	0.21	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	1.66	0.62	0.08	0.15	0.10	0.19	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<1.51	<2.52	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-0.78	-0.35	0.04	0.25	0.24	0.26	
Y II	4	-1.76	-0.67	0.11	0.18	0.20	0.13	
Zr II	3	-0.79	-0.07	0.09	0.16	0.19	0.11	
Nb II	1	<0.15	<1.99	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<-0.29	<1.36	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<-0.13	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	1	<0.81	<2.27	 ... 	 ... 	 ... 	 ... 	
Ba II	3	-1.72	-0.60	0.07	0.15	0.17	0.10	
La II	1	-2.47	-0.27	0.18	0.22	0.24	0.19	
Ce II	5	<-1.76	<-0.04	 ... 	 ... 	 ... 	 ... 	
Pr II	1	<-2.35	<0.23	 ... 	 ... 	 ... 	 ... 	
Nd II	1	-2.26	-0.38	0.21	0.25	0.27	0.22	
Sm II	2	<-1.78	<0.56	 ... 	 ... 	 ... 	 ... 	
Eu II	4	<-3.05	<-0.27	 ... 	 ... 	 ... 	 ... 	
Gd II	3	<-1.40	<0.83	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-2.23	<0.77	 ... 	 ... 	 ... 	 ... 	
Dy II	3	<-2.21	<-0.01	 ... 	 ... 	 ... 	 ... 	
Ho II	1	<-2.22	<0.60	 ... 	 ... 	 ... 	 ... 	
Er II	2	<-2.05	<0.33	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-2.38	<0.82	 ... 	 ... 	 ... 	 ... 	
Yb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-1.26	<1.19	 ... 	 ... 	 ... 	 ... 	
Ir I	1	<-0.64	<1.51	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.32	<1.81	 ... 	 ... 	 ... 	 ... 	
Th II	2	<-2.26	<0.98	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
