Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,[FeII/H],e_[FeII/H],[SrII/FeII],e_[SrII/FeII],[BaII/FeII],e_[BaII/FeII],[EuII/FeII],e_[EuII/FeII],[YbII/FeII],e_[YbII/FeII]
# Previously known r-process-enhanced stars on the red giant branch
CS 31082-001,4650,35,1.05,0.14,1.55,0.06,-3.03,0.07,+0.67,0.12,+0.92,0.17,+1.37,0.16,+1.38,0.27
CS 22892-052,4690,37,1.15,0.15,1.50,0.06,-3.16,0.07,+0.68,0.17,+0.94,0.16,+1.35,0.22,+1.39,0.27
CS 22183-031,4850,36,1.60,0.14,1.55,0.06,-3.50,0.07,-0.22,0.23,+0.13,0.15,+0.84,0.16,+0.68,0.18
CS 22953-003,4860,37,1.65,0.17,1.45,0.06,-3.00,0.07,+0.32,0.24,+0.29,0.15,+0.79,0.15,+0.63,0.20
# New r-process-enhanced stars on the subgiant branch
CS 22945-017,6080,54,3.70,0.19,1.25,0.06,-2.73,0.08,+0.39,0.24,+0.49,0.14,+1.13,0.19,+1.02,0.18
CS 22945-058,5990,45,3.65,0.17,1.55,0.06,-2.71,0.08,+0.34,0.24,+0.28,0.14,+1.13,0.19,+0.83,0.20
CS 22958-052,6090,46,3.75,0.18,1.95,0.06,-2.42,0.07,+0.13,0.24,+0.00,0.15,+1.00,0.18,+0.93,0.17
CS 29529-054,5710,40,3.55,0.18,1.65,0.06,-2.75,0.07,-0.10,0.24,-0.02,0.15,+0.90,0.21,+0.86,0.24
CS 22943-132,5850,41,3.60,0.16,1.40,0.06,-2.67,0.08,+0.27,0.24,-0.05,0.14,+0.86,0.22,+0.37,0.32
CS 22886-012,5650,42,3.50,0.15,1.45,0.06,-2.61,0.07,+0.31,0.23,+0.14,0.14,+0.85,0.17,+0.45,0.22
# New r-process-enhanced stars on the horizontal branch
CS 22875-029,5990,44,1.85,0.27,2.80,0.06,-2.69,0.06,+0.85,0.22,+0.30,0.15,+0.92,0.16,+0.86,0.19
CS 22888-047,5950,46,1.90,0.27,3.00,0.06,-2.54,0.06,+0.60,0.22,+0.04,0.16,+0.86,0.16,+0.67,0.18
CS 22882-001,5930,52,1.90,0.32,3.00,0.06,-2.62,0.06,+0.16,0.25,+0.06,0.16,+0.81,0.16,+0.56,0.19
