Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
False,-66:00:58.36,04:12:01.964,LMC-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-69:22:08.36,04:28:27.512,LMC-402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-68:02:41.87,04:33:20.143,LMC-204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-67:37:31.51,04:33:47.361,LMC-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-66:09:29.18,04:35:40.896,LMC-404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-65:45:50.31,04:42:26.547,LMC-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:43:57.55,04:53:37.090,LMC-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:50:01.06,04:54:16.665,LMC-405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:12:45.29,04:55:47.448,LMC-407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-72:20:42.85,05:04:52.769,LMC-202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-72:25:27.55,05:08:33.774,LMC-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:49:18.10,05:15:58.050,LMC-406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-63:22:26.56,05:18:01.352,LMC-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-65:11:46.17,05:27:13.519,LMC-403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-61:48:50.35,05:27:13.879,LMC-414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-63:54:12.14,05:29:44.001,LMC-411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:53:09.88,05:32:54.917,LMC-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:34:42.64,05:37:05.212,LMC-413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:21:50.52,05:38:55.896,LMC-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-63:53:20.39,05:42:10.807,LMC-410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-62:10:47.41,05:44:00.168,LMC-217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-72:41:45.25,05:44:58.823,LMC-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-65:46:35.40,05:45:46.652,LMC-206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-64:20:32.05,05:46:35.167,LMC-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-63:56:37.60,05:51:51.026,LMC-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-63:54:43.19,05:55:03.971,LMC-409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-66:05:17.85,05:56:37.323,LMC-215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,-62:07:23.33,06:08:14.982,LMC-124,Gaia DR3 5481017880523468800,06 08 14.9779,-62 07 23.341,14.0,14.0,0.0329,0.0276,90.0,A,O,2020yCat.1350....0G,,,,,,,,,ChemPec*,,06 08 14.9779,-62 07 23.341,1.625,0.795,0.0267,265.7,1.0
False,-73:59:35.81,06:17:10.604,LMC-323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-67:01:18.05,06:27:25.744,LMC-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,-66:29:56.95,06:45:46.181,LMC-416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
