Name,Teff,logg,[Fe/H],[C/Fe],[Mg/Fe],[Ca/Fe],[Ti/Fe],[Sr/Fe],[Ba/Fe],Comment,Ref.
Boo02,5114,2.00,-2.37,0.36,0.28,,,,,med-res,LAI11
Boo03,5127,1.99,-3.09,0.79,0.43,,,,,med-res,LAI11
Boo04,5210,2.68,-2.39,0.34,0.35,,,,,med-res,LAI11
Boo05,5077,2.55,-2.89,<0.00,0.05,,,,,med-res,LAI11
Boo06,5404,2.40,-2.20,0.64,0.32,,,,,med-res,LAI11
Boo07,5200,2.54,-2.49,0.39,0.16,,,,,med-res,LAI11
Boo-7,4800,1.60,-2.32,-0.50,,,,,,med-res,NOR10 %not Boo07
,,,-2.33,,0.30,0.23,,,-0.75,high-res,FEL09
Boo08,5178,2.30,-2.48,0.32,0.18,,,,,med-res,LAI11
Boo-8,5090,2.30,-2.75,0.60,,,,,,med-res,NOR10 %not Boo08!
Boo09,5563,2.44,-2.65,0.90,0.37,,,,,med-res,LAI11
Boo-9,4630,1.10,-2.67,-0.55,,,,,,med-res,NOR10 %not Boo09
,4750,1.40,-2.64,<-0.29,0.13,0.18,0.27,,-0.89,high-res,ISH14
Boo10,5086,2.42,-2.59,<0.00,,,,,,med-res,LAI11
Boo11,5199,2.65,-2.43,-0.05,0.05,,,,,med-res,LAI11
Boo12,5168,2.19,-2.48,0.24,0.04,,,,,med-res,LAI11
Boo13,5631,2.35,-2.49,<0.00,0.23,,,,,med-res,LAI11
Boo14,5971,2.56,-2.57,<0.00,0.34,,,,,med-res,LAI11
Boo15,5117,2.31,-2.89,<0.00,0.30,,,,,med-res,LAI11
Boo18,5287,2.27,-2.51,0.44,0.13,,,,,med-res,LAI11
Boo19,5141,2.38,-3.29,0.40,0.28,,,,,med-res,LAI11
Boo20,4931,2.44,-2.42,-0.35,0.13,,,,,med-res,LAI11
Boo22,4866,1.93,-2.87,-0.16,0.12,,,,,med-res,LAI11
Boo23,5475,2.83,-2.90,1.86,0.16,,,,,med-res,LAI11
Boo25,5141,2.02,-2.76,1.34,0.25,,,,,med-res,LAI11
Boo28,5449,3.29,-2.31,0.27,0.06,,,,,med-res,LAI11
Boo30,5449,3.29,-1.86,0.38,0.51,,,,,med-res,LAI11
Boo-33,4730,1.40,-2.29,0.30,,,,,,med-res,NOR10
,4600,1.00,-2.52,,0.69,0.40,,,-0.40,high-res,FEL09
,4740,1.40,-2.32,,0.26,0.14,-0.02,,-0.35,high-res,GIL13
Boo-34,4840,1.60,-3.10,0.55,,,,,,med-res,NOR10
Boo-41,4750,1.60,-1.93,-0.65,,,,,,med-res,NOR10
(=Boo24),4798,1.63,-1.65,-0.80,0.46,,,,,med-res,LAI11
,4750,1.50,-1.88,,0.50,0.28,0.78,,-0.39,high-res,GIL13
Boo-78,4950,1.90,-2.46,-0.15,,,,,,med-res,NOR10
Boo-94,4570,0.80,-2.90,-0.45,,,,,,med-res,NOR10
,4600,0.50,-2.95,,0.47,,0.22,,,high-res,FEL09
,4560,0.80,-2.94,,0.49,0.30,0.26,,-0.95,high-res,GIL13
,4500,0.80,-3.18,<0.25,0.39,0.46,0.55,-2.16,-0.80,high-res,ISH14
Boo-117,4700,1.40,-2.25,-0.30,,,,,,med-res,NOR10
(=Boo01),4716,1.65,-2.34,-0.50,0.12,,,,,med-res,LAI11
,4600,1.00,-2.29,,0.22,0.29,,,-0.46,high-res,FEL09
,4725,1.40,-2.18,,0.18,0.20,0.14,,-0.65,high-res,GIL13
,4750,1.50,-2.15,-0.79,0.04,0.01,0.44,-1.12,-0.43,high-res,ISH14
Boo-119,4770,1.40,-3.33,,1.04,0.46,0.80,,-1.00,high-res,GIL13
(=Boo21),4775,1.48,-3.79,2.20,0.27,,,,,med-res,LAI11
Boo-121,4630,1.10,-2.37,-0.25,,,,,,med-res,NOR10
,,,-2.44,,0.62,0.38,,,-0.43,high-res,FEL09
,4500,0.80,-2.49,<-0.24,0.20,0.24,0.07,,-0.63,high-res,ISH14
Boo-127,4670,1.40,-2.08,-0.25,,,,,,med-res,NOR10
,4600,1.00,-2.03,,0.76,0.02,,,- 0.64,high-res,FEL09
,4685,1.40,-2.01,,0.17,0.16,0.20,,-0.69,high-res,GIL13
%,4700,1.40,-1.92,,0.20,0.10,0.19,,-0.80,high-res,GIL13
,4750,1.60,-1.92,-0.77,0.11,0.19,0.20,-1.44,-0.87,high-res,ISH14
,4765,1.35,-1.99,-0.15,0.41,0.24,0.33,-1.20,-0.75,high-res,this study
Boo-130,4750,1.40,-2.29,-0.40,,,,,,med-res,NOR10
,4775,1.40,-2.32,,0.21,0.19,0.17,,-0.54,high-res,GIL13
Boo-911,4540,1.10,-1.98,-0.55,,,,,,med-res,NOR10
,,,-2.26,,0.11,0.40,,,-0.56,high-res,FEL09
,4500,0.90,-2.16,-0.77,0.35,-0.01,0.02,,-0.64,high-res,ISH14
Boo-980,4890,1.70,-3.09,0.00,,,,,,med-res,NOR10
,4720,1.40,-3.06,-0.40,0.29,0.30,0.43,-0.95,-1.23,high-res,this study
Boo-1069,5050,2.20,-2.51,-0.35,,,,,,med-res,NOR10
Boo-1137,4710,1.20,-3.66,0.20,,,,,,med-res,NOR10
,4700,1.20,-3.66,0.25,0.47,0.52,0.52,-1.42,-0.59,high-res,NOR10b
