Species	Z	logepsX	e_logepsX	N	[X/Fe]
Li I	3	\lesssim 0.2	\ldots	1	\ldots
C-H	6	6.00	(0.15)	\ldots	-0.47
N-H	7	6.20	(0.20)	\ldots	0.24
O I	8	7.30	(0.15)	1	0.46
Na I	11	4.19	0.04	4	-0.05
Mg I	12	5.90	0.10	3	0.41
Al I	13	3.69	(0.15)	1	-0.69
Si I	14	5.95	0.11	6	0.49
Ca I	20	4.68	0.06	19	0.41
Sc II	21	1.17	0.05	5	0.16
Ti I	22	3.23	0.09	13	0.33
Ti II	22	3.27	0.13	19	0.37
V I	23	1.86	0.01	2	-0.05
Cr I	24	3.45	0.06	5	-0.13
Cr II	24	3.69	0.09	4	0.11
Mn I	25	3.02	0.15	2	-0.28
Fe I	26	5.44	0.08	139	0.01
Fe II	26	5.42	0.09	24	-0.01
Co I	27	2.92	(0.15)	1	0.09
Ni I	28	4.10	0.16	4	-0.06
Cu I	29	1.31	(0.15)	1	-0.81
Zn I	30	2.58	(0.15)	1	0.07
