Table 18 
Mean Abundances in CS 30314-067


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	91	4.19	-3.31	0.06	0.15	0.00	0.00	
Fe II	8	4.49	-3.01	0.06	0.15	0.00	0.00	
Li I	1	<-0.41	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	5.97	0.55	0.15	0.25	0.19	0.19	
N (NH)	1	6.00	1.18	0.30	0.36	0.32	0.32	
O I	3	6.49	1.11	0.21	0.25	0.22	0.27	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	5	4.85	0.56	0.06	0.16	0.09	0.18	
Al I	1	3.02	-0.12	0.08	0.24	0.16	0.19	
Si I	1	5.25	1.05	0.16	0.30	0.24	0.30	
K I	2	2.00	0.28	0.13	0.18	0.14	0.21	
Ca I	10	3.48	0.45	0.11	0.17	0.12	0.20	
Sc II	5	0.01	-0.13	0.05	0.14	0.17	0.08	
Ti I	18	1.68	0.04	0.05	0.14	0.08	0.17	
Ti II	21	2.21	0.27	0.04	0.14	0.17	0.08	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	0.83	-0.08	0.19	0.23	0.25	0.20	
Cr I	9	2.06	-0.27	0.05	0.14	0.08	0.17	
Cr II	3	2.80	0.17	0.08	0.16	0.19	0.10	
Mn I	3	1.54	-0.58	0.06	0.14	0.08	0.18	
Mn II	2	1.45	-0.97	0.14	0.26	0.25	0.24	
Co I	5	1.13	-0.56	0.15	0.29	0.23	0.29	
Ni I	7	2.97	0.05	0.13	0.18	0.14	0.21	
Cu I	1	<0.27	<-0.61	 ... 	 ... 	 ... 	 ... 	
Zn I	3	1.88	0.62	0.06	0.14	0.08	0.18	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<1.22	<2.01	 ... 	 ... 	 ... 	 ... 	
Sr II	1	-0.50	-0.36	0.03	0.18	0.17	0.19	
Y II	4	-1.63	-0.83	0.09	0.17	0.19	0.11	
Zr II	3	-0.52	-0.08	0.05	0.15	0.17	0.08	
Nb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mo I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Tc I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	4	-1.38	-0.55	0.05	0.15	0.17	0.09	
La II	4	-2.60	-0.69	0.13	0.19	0.21	0.14	
Ce II	1	-2.06	-0.63	0.12	0.18	0.21	0.14	
Pr II	1	<-2.25	<0.04	 ... 	 ... 	 ... 	 ... 	
Nd II	4	-2.01	-0.42	0.11	0.18	0.20	0.13	
Sm II	1	-2.55	-0.50	0.12	0.19	0.21	0.14	
Eu II	1	-3.11	-0.62	0.09	0.17	0.19	0.11	
Gd II	1	<-1.95	<-0.01	 ... 	 ... 	 ... 	 ... 	
Tb II	2	<-2.42	<0.29	 ... 	 ... 	 ... 	 ... 	
Dy II	1	<-2.73	<-0.82	 ... 	 ... 	 ... 	 ... 	
Ho II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Er II	2	<-2.40	<-0.31	 ... 	 ... 	 ... 	 ... 	
Tm II	1	<-2.06	<0.85	 ... 	 ... 	 ... 	 ... 	
Yb II	1	-3.05	-0.96	0.16	0.21	0.23	0.17	
Hf II	2	<-1.57	<0.59	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.30	<1.57	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
