Name,T1,T2,T3,T4,<T>,e_<T>,logg,VMag,Mbol
M68-6022,4663,4671,4677,4694,4676,13,1.53,-0.98,-1.4
M68-6023,4686,4682,4654,4647,4667,20,1.55,-0.91,-1.33
M68-6024,4741,4732,4722,4701,4724,17,1.61,-0.84,-1.23
Car-1087,4391,4457,4572,4416,4459,80,0.95,-2.05,-2.59
Car-5070,4303,4314,4367,4364,4337,33,0.83,-2.19,-2.79
Car-7002,4677,4552,4492,4473,4548,92,1.16,-1.65,-2.15
Car-484,4073,4245,4383,4320,4255,134,0.65,-2.49,-3.14
Car-524,4228,4346,4235,4311,4280,58,0.7,-2.42,-3.05
Car-612,4229,4253,4301,4224,4252,35,0.75,-2.23,-2.88
Car-705,4194,4305,4221,4460,4295,120,0.77,-2.27,-2.89
Car-769,4308,4361,4278,4254,4300,46,0.86,-2.04,-2.65
Car-1013,4208,4280,4372,4250,4278,70,0.75,-2.28,-2.91
Car-837,,,,,,,,,
Car-489,,,,,,,,,
Car-X,,,,,,,,,
