 1 HD 2796       00 31 16.91 -16 47 40.8   
 2 HD 122563     14 02 31.85 +09 41 09.9   
 3 HD 186478     19 45 14.14 -17 29 27.1   
 4 BD+17 3248    17 28 14.47 +17 30 35.8   
 5 BD-18 5550    19 58 49.74 -18 12 11.1   
 6 CD-38 245     00 46 36.19 -37 39 33.6   
 7 BS 16467-062  13 42 00.63 +17 48 40.8   
 8 BS 16477-003  14 32 56.91 +06 46 06.9   
 9 BS 17569-049  22 04 58.36 +04 01 32.1   
10 CS 22169-035  04 12 13.88 +12 05 05.0   
11 CS 22172-002  03 14 20.84 +10 35 11.2   
12 CS 22186-025  04 24 32.80 +37 09 02.5   
13 CS 22189-009  02 41 42.37 +13 28 10.5   
14 CS 22873-055  19 53 49.78 +59 40 00.1   
15 CS 22873-166  20 19 22.02 +61 30 14.9   
16 CS 22878-101  16 45 31.44 +08 14 45.4   
17 CS 22885-096  20 20 51.17 +39 53 30.1   
18 CS 22891-209  19 42 02.16 +61 03 44.6   
19 CS 22892-052  22 17 01.65 +16 39 27.1   
20 CS 22896-154  19 42 26.88 +56 58 34.0   
21 CS 22897-008  21 03 11.85 +65 05 08.8   
22 CS 22948-066  21 44 51.17 +37 27 54.9   
23 CS 22949-037  23 26 29.80 +02 39 57.9   
24 CS 22952-015  23 37 28.69 +05 47 56.6   
25 CS 22953-003  01 02 15.85 +61 43 45.8   
26 CS 22956-050  21 58 05.83 +65 13 27.1   
27 CS 22966-057  23 48 57.76 +29 39 22.8   
28 CS 22968-014  03 06 29.50 +54 30 32.5   
29 CS 29491-053  22 36 56.30 +28 31 06.4   
30 CS 29502-041  21 36 33.27 -28 18 48.5   
31 CS 29502-042  22 21 48.82 +02 28 44.8   
32 CS 29516-024  22 26 15.35 +02 51 46.2   
33 CS 29518-051  01 24 10.01 +28 15 21.0   
34 CS 30325-094  14 54 39.27 +04 21 38.0   
35 CS 31082-001  01 29 31.13 +16 00 45.4   
