Table 15 
Mean Abundances in HD 160617


Z	Species	log epsilon SS^a	log epsilon	[X/Fe]^b	N_lines	sigma_internal	sigma_total	
4	Be II	1.38	-0.36	+0.03	2	0.07	0.30	
6	C (CH)	8.43	+6.61	+0.10	 ... 	0.15	0.25	
7	N (NH)	7.83	+6.51	+0.60	 ... 	0.15	0.25	
8	O (OH)	8.69	+7.22	+0.45	 ... 	0.15	0.25	
11	Na I	6.24	+4.58	+0.26	2	0.07	0.20	
12	Mg I	7.60	+5.88	+0.20	4	0.23	0.30	
14	Si I	7.51	+5.91	+0.32	3	0.07	0.20	
20	Ca I	6.34	+4.78	+0.36	13	0.09	0.21	
21	Sc II	3.15	+1.45	+0.07	8	0.15	0.33	
22	Ti I	4.95	+3.31	+0.28	16	0.04	0.19	
22	Ti II	4.95	+3.47	+0.29	28	0.08	0.30	
23	V I	3.93	+2.08	+0.07	1	0.10	0.33	
23	V II	3.93	+2.34	+0.18	2	0.07	0.30	
24	Cr I	5.64	+3.62	-0.10	13	0.05	0.20	
24	Cr II	5.64	+4.08	+0.21	3	0.06	0.30	
25	Mn I	5.43	+3.19	-0.32	5	0.04	0.19	
25	Mn II	5.43	+3.37	-0.29	6	0.04	0.29	
26	Fe I	7.50	+5.58	-1.92^c	119	0.06	0.20	
26	Fe II	7.50	+5.73	-1.77^d	11	0.05	0.29	
27	Co I	4.99	+3.07	+0.00	7	0.13	0.23	
28	Ni I	6.22	+4.30	+0.00	14	0.05	0.20	
29	Cu I	4.19	+1.40	-0.87	2	0.07	0.20	
29	Cu II	4.19	+1.84	-0.58	6	0.05	0.29	
30	Zn I	4.56	+2.76	+0.12	6	0.05	0.20	
30	Zn II	4.56	+2.94	+0.15	1	0.10	0.31	
32	Ge I	3.65	<+1.20	<-0.53	 ... 	 ... 	 ... 	
33	As I	2.30	+0.60	+0.22	3	0.37	0.42	
34	Se I	3.34	+1.56	+0.14	3	0.08	0.21	
38	Sr I	2.87	+0.85	-0.10	1	0.10	0.21	
38	Sr II	2.87	+1.22	+0.12	3	0.09	0.30	
39	Y II	2.21	+0.25	-0.19	11	0.08	0.30	
40	Zr II	2.58	+1.05	+0.24	20	0.07	0.30	
42	Mo I	1.88	+0.58	+0.62	1	0.10	0.22	
42	Mo II	1.88	+0.61	+0.50	4	0.09	0.30	
44	Ru I	1.75	+0.59	+0.76	1	0.10	0.22	
46	Pd I	1.65	-0.07	+0.20	1	0.10	0.22	
47	Ag I	1.20	-0.89	-0.17	1	0.20	0.28	
48	Cd II	1.71	-0.03	+0.03	1	0.10	0.31	
52	Te I	2.18	+0.67	+0.41	1	0.20	0.32	
56	Ba II	2.18	+0.44	+0.03	2	0.07	0.30	
57	La II	1.10	-0.36	+0.31	4	0.07	0.30	
58	Ce II	1.58	+0.06	+0.25	9	0.09	0.30	
60	Nd II	1.42	-0.03	+0.32	4	0.09	0.30	
62	Sm II	0.96	-0.45	+0.36	3	0.15	0.33	
63	Eu II	0.52	-0.81	+0.44	4	0.05	0.29	
64	Gd II	1.07	-0.30	+0.40	3	0.06	0.30	
66	Dy II	1.10	-0.20	+0.47	6	0.04	0.29	
68	Er II	0.92	-0.35	+0.50	3	0.06	0.30	
70	Yb II	0.92	-0.42	+0.43	3	0.15	0.33	
76	Os II	1.40	-0.12	+0.25	1	0.20	0.36	
77	Ir II	1.38	+0.35	+0.74	1	0.10	0.31	
78	Pt I	1.62	+0.44	+0.74	3	0.10	0.21	
80	Hg II	1.17	<+0.40	<+1.00	 ... 	 ... 	 ... 	
82	Pb I	2.04	<+0.90	<+0.78	 ... 	 ... 	 ... 	
Notes.
a Solar abundances from Asplund et al. (2009).
b Abundance ratios for neutrals are computed relative to Fe I and abundance ratios for ions are computed relative to Fe II.
c [Fe I/H].
d [Fe II/H].
