Name,Ion,Z,logepsX_sun,l_logepsX,logepsX,e_logepsX_stat,e_logepsX,N
HD 108317,Fe I,26,+7.50,,+4.97,0.09,0.15,300
HD 108317,Fe II,26,+7.50,,+5.13,0.14,0.22,55
HD 108317,Cu I,29,+4.19,,+0.70,0.11,0.16,2
HD 108317,Zn I,30,+4.56,,+2.26,0.09,0.15,3
HD 108317,Ge I,32,+3.65,,+0.17,0.12,0.17,3
HD 108317,Rb I,37,+2.52,<,+1.40,,,1
HD 108317,Sr II,38,+2.87,,+0.48,0.10,0.19,2
HD 108317,Y II,39,+2.21,,-0.42,0.11,0.20,10
HD 108317,Zr II,40,+2.58,,+0.45,0.11,0.20,39
HD 108317,Nb II,41,+1.46,,-0.86,0.10,0.19,3
HD 108317,Mo I,42,+1.88,,-0.23,0.14,0.19,1
HD 108317,Mo II,42,+1.88,<,+0.24,,,1
HD 108317,Ru I,44,+1.75,,-0.04,0.11,0.16,2
HD 108317,Rh I,45,+1.06,,-0.84,0.24,0.27,1
HD 108317,Pd I,46,+1.65,,-0.67,0.13,0.18,2
HD 108317,Ag I,47,+1.20,,-1.34,0.17,0.21,2
HD 108317,Cd I,48,+1.71,,-0.87,0.25,0.28,1
HD 108317,Sn I,50,+2.07,<,+0.80,,,1
HD 108317,Te I,52,+2.18,,+0.02,0.21,0.24,1
HD 108317,Ba II,56,+2.18,,-0.32,0.10,0.19,4
HD 108317,La II,57,+1.10,,-1.12,0.05,0.17,7
HD 108317,Ce II,58,+1.58,,-0.68,0.04,0.17,11
HD 108317,Pr II,59,+0.72,,-0.90,0.16,0.23,2
HD 108317,Nd II,60,+1.42,,-0.71,0.07,0.18,12
HD 108317,Sm II,62,+0.96,,-1.05,0.11,0.20,5
HD 108317,Eu II,63,+0.52,,-1.37,0.06,0.18,5
HD 108317,Gd II,64,+1.07,,-0.82,0.10,0.19,6
HD 108317,Tb II,65,+0.30,,-1.30,0.24,0.29,1
HD 108317,Dy II,66,+1.10,,-0.75,0.08,0.18,9
HD 108317,Ho II,67,+0.48,,-1.50,0.12,0.20,2
HD 108317,Er II,68,+0.92,,-0.94,0.06,0.18,5
HD 108317,Tm II,69,+0.10,,-1.80,0.10,0.19,2
HD 108317,Yb II,70,+0.92,,-1.13,0.14,0.22,1
HD 108317,Lu II,71,+0.10,,-1.64,0.20,0.26,1
HD 108317,Hf II,72,+0.85,,-0.99,0.21,0.27,2
HD 108317,Os I,76,+1.40,,-0.50,0.20,0.23,1
HD 108317,Os II,76,+1.40,,-0.88,0.20,0.26,1
HD 108317,Ir I,77,+1.38,,-0.07,0.32,0.34,3
HD 108317,Pt I,78,+1.62,,-0.46,0.14,0.19,2
HD 108317,Au I,79,+0.80,,-1.64,0.27,0.30,1
HD 108317,Pb I,82,+2.04,<,-0.26,,,3
HD 108317,Bi I,83,+0.65,<,+1.04,,,1
HD 108317,Th II,90,+0.06,,-1.99,0.13,0.21,1
HD 122563,Fe I,26,+7.50,,+4.44,0.10,0.16,211
HD 122563,Fe II,26,+7.50,,+4.89,0.12,0.20,20
HD 122563,Cu I,29,+4.19,,+0.10,0.18,0.22,1
HD 122563,Zn I,30,+4.56,,+1.99,0.17,0.21,4
HD 122563,Ge I,32,+3.65,,-0.88,0.17,0.21,3
HD 122563,Rb I,37,+2.52,<,+1.20,,,1
HD 122563,Sr II,38,+2.87,,-0.02,0.09,0.19,3
HD 122563,Y II,39,+2.21,,-0.95,0.13,0.21,10
HD 122563,Zr II,40,+2.58,,-0.16,0.14,0.22,26
HD 122563,Nb II,41,+1.46,,-1.52,0.14,0.22,3
HD 122563,Mo I,42,+1.88,,-1.22,0.29,0.31,1
HD 122563,Mo II,42,+1.88,<,-0.65,,,1
HD 122563,Ru I,44,+1.75,,-1.04,0.24,0.27,3
HD 122563,Rh I,45,+1.06,,-1.73,0.29,0.31,1
HD 122563,Pd I,46,+1.65,,-1.78,0.30,0.32,1
HD 122563,Ag I,47,+1.20,<,-1.63,,,2
HD 122563,Cd I,48,+1.71,<,-2.85,,,1
HD 122563,Sn I,50,+2.07,<,+0.38,,,1
HD 122563,Te I,52,+2.18,,,,,
HD 122563,Ba II,56,+2.18,,-1.78,0.14,0.22,2
HD 122563,La II,57,+1.10,,-2.48,0.18,0.24,3
HD 122563,Ce II,58,+1.58,,-1.94,0.07,0.18,6
HD 122563,Pr II,59,+0.72,<,-2.15,,,1
HD 122563,Nd II,60,+1.42,,-2.06,0.09,0.19,3
HD 122563,Sm II,62,+0.96,,-2.31,0.11,0.20,3
HD 122563,Eu II,63,+0.52,,-2.77,0.09,0.19,3
HD 122563,Gd II,64,+1.07,,-2.30,0.17,0.24,1
HD 122563,Tb II,65,+0.30,,,,,
HD 122563,Dy II,66,+1.10,,-2.39,0.17,0.24,1
HD 122563,Ho II,67,+0.48,<,-2.43,,,1
HD 122563,Er II,68,+0.92,,,,,
HD 122563,Tm II,69,+0.10,,,,,
HD 122563,Yb II,70,+0.92,,-2.69,0.17,0.24,1
