Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RV
CS 22175-007,2,17,26.6,-,9,0,45,-18.3
CS 22186-023,4,19,45.5,-,36,51,35,51.9
CS 22186-025,4,24,32.8,-,37,9,2,-122.6
CS 22886-042,22,20,25.8,-,10,23,20,-220.6
CS 22892-052,22,17,1.6,-,16,39,27,14.5
CS 22945-028,23,31,13.5,-,66,29,57,388.9
CS 22957-013,23,55,49.0,-,5,22,52,-213.5
CS 22958-083,2,15,42.7,-,53,59,56,175.6
CS 22960-010,22,8,25.3,-,44,53,56,49.2
CS 29491-069,22,31,2.1,-,32,38,36,-375.5
CS 29491-109,22,25,1.1,-,32,14,41,160.1
CS 29497-004,0,28,6.9,-,26,3,4,105.1
CS 29510-058,2,21,46.5,-,24,1,58,153.1
CS 30308-035,20,45,54.1,-,44,50,29,-51.8
CS 30315-001,23,37,38.8,-,26,21,53,110.3
CS 30315-029,23,34,26.6,-,26,42,14,-169.2
CS 30337-097,22,1,21.5,-,30,57,57,-108.7
CS 30339-041,0,23,12.9,-,37,1,26,-19.3
CS 30343-063,21,45,17.5,-,37,22,18,-59.4
CS 31060-047,0,8,7.8,-,15,54,3,106.1
CS 31062-041,0,35,3.0,-,15,54,29,-173.0
CS 31072-118,5,8,53.5,-,59,18,21,145.8
CS 31082-001,1,29,31.1,-,16,0,45,139.4
HD 20,0,5,15.3,-,27,16,18,-57.5
HD 221170,23,29,28.8,+,30,25,57,-120.7
HE 0005-0002,0,8,6.8,+,0,14,9,-65.4
HE 0008-3842,0,10,56.0,-,38,26,10,128.9
HE 0017-4838,0,19,48.3,-,48,21,24,26.8
HE 0018-1349,0,20,52.4,-,13,32,29,-161.7
HE 0023-4825,0,25,50.3,-,48,8,27,-21.5
HE 0029-1839,0,32,7.7,-,18,22,36,-97.8
HE 0037-2657,0,39,51.7,-,26,41,31,-279.0
HE 0039-4154,0,41,43.3,-,41,37,58,128.9
HE 0043-2845,0,45,55.8,-,28,29,16,16.4
HE 0044-2459,0,46,35.8,-,24,43,2,-160.0
HE 0044-4023,0,46,29.4,-,40,7,23,346.2
HE 0045-2430,0,47,40.5,-,24,14,2,144.5
HE 0049-5700,0,52,6.8,-,56,44,37,59.8
HE 0051-2304,0,53,51.5,-,22,47,55,-135.6
HE 0054-0657,0,57,20.7,-,6,41,0,51.3
HE 0057-4541,0,59,59.2,-,45,24,54,13.4
HE 0104-4007,1,6,56.0,-,39,51,52,200.8
HE 0104-5300,1,6,51.8,-,52,44,11,185.8
HE 0105-6141,1,7,38.0,-,61,25,17,3.8
HE 0109-0742,1,11,47.0,-,7,26,32,-24.1
HE 0109-3711,1,11,38.4,-,36,55,17,-1.0
HE 0111-1454,1,13,49.1,-,14,38,23,-85.2
HE 0121-2826,1,23,37.2,-,28,10,27,-2.0
HE 0131-2740,1,33,25.8,-,27,25,28,51.7
HE 0131-3953,1,33,36.4,-,39,37,52,67.5
HE 0143-1135,1,46,10.2,-,11,20,10,-223.1
HE 0143-4108,1,45,19.9,-,40,53,37,55.5
HE 0143-4146,1,45,18.0,-,41,31,48,-16.3
HE 0157-3335,2,0,0.2,-,33,21,23,-175.2
HE 0200-0955,2,3,16.2,-,9,40,48,73.6
HE 0202-2204,2,4,50.0,-,21,50,10,108.2
HE 0231-4016,2,33,44.3,-,40,3,44,180.8
HE 0240-0807,2,42,57.6,-,7,54,35,-98.8
HE 0240-6105,2,42,6.2,-,60,53,3,153.0
HE 0243-0753,2,46,14.1,-,7,40,53,-13.0
HE 0243-5238,2,45,36.2,-,52,25,58,112.3
HE 0244-4111,2,45,57.4,-,40,59,8,214.3
HE 0248+0039,2,50,59.0,+,0,51,32,48.9
HE 0256-1109,2,59,10.1,-,10,58,1,-132.3
HE 0300-0751,3,3,4.0,-,7,39,42,155.5
HE 0305-4520,3,7,2.1,-,45,9,0,135.3
HE 0308-1154,3,11,9.8,-,11,43,20,13.4
HE 0315+0000,3,17,39.0,+,0,11,4,-120.8
HE 0316+0214,3,19,9.2,+,2,24,54,-161.0
HE 0317-4640,3,18,56.2,-,46,29,27,9.3
HE 0323-4529,3,25,30.1,-,45,19,31,180.6
HE 0328-1047,3,30,45.2,-,10,37,10,-75.0
HE 0330-4004,3,32,7.3,-,39,54,51,227.0
HE 0330-4144,3,32,16.1,-,41,34,49,134.2
HE 0331-4939,3,32,41.8,-,49,29,10,273.4
HE 0333-4001,3,35,25.7,-,39,51,48,-162.3
HE 0336-3829,3,38,31.7,-,38,20,15,-109.1
HE 0337-5127,3,39,13.0,-,51,18,16,75.4
HE 0338-3945,3,39,54.9,-,39,35,44,177.7
HE 0339-4027,3,40,49.6,-,40,17,36,22.0
HE 0340-3430,3,42,4.7,-,34,20,50,228.1
HE 0340-5355,3,41,34.6,-,53,46,17,317.5
HE 0341-4024,3,43,7.9,-,40,15,30,211.8
