BD-01 0306      -1.13 29 +3.57 +1.05 +0.12 -0.27 <+1.20 29,36    0
BD-01 2582      -2.21 29 +2.51 +0.17 -0.05 -1.03  +0.77 29,36    0
BD-18 5550      -3.05 20 +1.94 -1.81 -2.52 -2.81        20       0
BD+01 2916      -1.92  2       -0.21 -0.87 -1.22  -0.20 2,4      1
BD+04 2621      -2.52 20       -0.69 -2.29 -2.63        20       0
BD+06 0648      -2.14  2       -0.09 -0.95 -1.50 <+0.00 2,4      1
BD+08 2856      -2.12 20 +2.59 -0.15 -1.03 -1.16        20       0
BD+10 2495      -2.31 26 +2.32 -0.52 -1.36 -1.69 <+0.88 26       2
BD+17 3248      -2.08  8 +2.58 +0.04 -0.55 -0.78 <+0.27 8,25     1
BD+19 1185      -1.09 29 +3.38 +0.85 +0.06 -0.23  +0.77 29,36    0
BD+29 2356      -1.59 26 +3.05 +0.52 -0.47 -0.69  +0.35 26       2
BD+30 2611      -1.50 26 +2.87 +0.41 -0.24 -0.36  +0.56 26       2
BD+52 1601      -1.40 29 +3.35 +0.71 -0.13 -0.51 <+0.60 29,36    0
BS 16477-003    -3.36  6 +1.42 -1.20                    6,10     0
BS 17569-049    -2.88  6 +1.95 -0.63 -1.40 -1.64        6,10     0
CD-36 1052      -1.79 26 +2.88 +0.34 -0.40 -0.82 <+2.47 26       2
CD-38 0245      -4.19  6 +1.10 -2.43                    6,10     0
CS 22169-035    -3.04  6 +1.66 -1.21                    6,10     0
CS 22172-002    -3.86  6 +1.23 -2.63                    6,10     0
CS 22186-025    -3.00  6 +1.92 -1.10 -1.71 -1.94        6,10     0
CS 22189-009    -3.49  6 +1.57 -2.11                    6,10     0
CS 22873-055    -2.99  6 +1.87 -1.31 -2.36 -2.64        6,10     0
CS 22873-166    -2.97  6 +1.81 -0.89 -2.64 -2.75        6,10     0
CS 22878-101    -3.25  6 +1.75 -1.32 -2.57 -2.79        6,10     0
CS 22891-209    -3.29  6 +1.76 -1.18 -2.47 -2.86        6,10     0
CS 22892-052    -3.10 30 +1.59 -0.42 -0.87 -0.96 <-0.15 25,30    3
CS 22896-154    -2.69  6 +2.17 -0.33 -1.17 -1.31        6,10     0
CS 22897-008    -3.41  6 +1.86 -1.08                    6,10     0
CS 22948-066    -3.14  6 +1.83 -1.98                    6,10     0
CS 22952-015    -3.43  6 +1.42 -2.12                    6,10     0
CS 22953-003    -2.84  6 +1.91 -0.49 -1.08 -1.27        6,10     0
CS 22956-050    -3.33  6 +1.57 -1.61                    6,10     0
CS 22966-057    -2.62  6 +2.24 -0.67 -1.27 -1.69        6,10     0
CS 22968-014    -3.56  6 +1.46       -2.57              6,10     0
CS 29491-053    -3.04  6 +1.83 -1.14       -2.94        6,10     0
CS 29491-069    -2.60 14 +2.30 -0.17 -0.75 -0.96 <+0.35 14,25    1
CS 29495-041    -2.82  6 +1.93 -1.02 -2.17 -2.39        6,10     0
CS 29497-004    -2.66  7 +2.20 +0.30 -0.38 -0.45        7,21     0
CS 29516-024    -3.06  6 +1.74 -1.59 -2.57 -2.79        6,10     0
CS 29518-051    -2.78  6 +2.17 -0.63 -2.17              6,10     0
CS 30306-132    -2.42 16       -0.07 -0.78 -1.02 <+0.50 16       1
CS 31078-018    -2.84 22 +2.13 -0.43 -1.00 -1.17 <+0.25 22       1
CS 31082-001    -2.90 15 +1.88 -0.23 -0.62 -0.72  -0.55 15,24,31 3
G005-001        -1.24 29 +3.50 +0.73 -0.09 -0.38 <+1.35 29,36    0
G009-036        -1.17 29 +3.14 +0.31 +0.26 -0.16  +1.25 29,36    0
G017-025        -1.54 29 +3.40 +0.87              +0.64 29,36    0
G023-014        -1.64 29 +3.05 +0.46 -0.33 -0.58 <+0.75 29,36    1
G028-043        -1.64 29 +3.03 +0.39 -0.22 -0.53  +0.69 29,36    1
G029-025        -1.09 29 +3.81 +1.14 +0.19 -0.23  +0.80 29,36    0
G040-008        -0.97 29 +3.90 +1.05              +1.13 29,36    0
