ESO archive observation name,Setting,Exp. time,Airmass,DIMM seeing at beginning,DIMM seeing at end,Notes
GIRAF.2005-01-09T00:38:36.971.fits,H651.5A,600,1.49,1.17,,low S/N
GIRAF.2005-01-09T00:51:15.578.fits,H651.5A,3600,1.43,,1.66,low S/N
GIRAF.2005-01-09T01:57:26.664.fits,H627.3,3600,1.24,1.71,1.09,low S/N
GIRAF.2005-01-09T03:12:34.973.fits,H548.8,3600,1.14,1.18,0.68,
GIRAF.2005-01-09T04:13:33.996.fits,H548.8,3600,1.11,0.68,0.57,
GIRAF.2005-01-09T05:29:40.059.fits,H651.5A,3900,1.16,,0.58,
GIRAF.2005-01-09T06:36:21.407.fits,H627.3,3600,1.28,0.58,0.65,
GIRAF.2005-01-09T07:38:07.042.fits,H627.3,3900,1.49,0.54,,
GIRAF.2005-01-10T03:40:05.439.fits,H651.5A,3600,1.12,1.01,0.78,low S/N
GIRAF.2005-01-10T04:41:45.604.fits,H627.3,4400,1.12,0.75,0.88,low S/N
GIRAF.2005-01-10T06:15:26.119.fits,H651.5A,4200,1.24,,1.07,low S/N
GIRAF.2005-01-10T07:27:05.588.fits,H627.3,4133,1.46,1.24,1.16,low S/N
GIRAF.2005-01-11T01:06:52.044.fits,H651.5A,3600,1.35,0.71,0.76,
GIRAF.2005-01-11T02:08:30.061.fits,H627.3,3600,1.21,0.74,1.69,
GIRAF.2005-01-11T03:23:59.489.fits,H548.8,3600,1.12,1.09,1.69,low S/N
GIRAF.2005-01-11T04:24:59.522.fits,H548.8,3600,1.12,1.57,3.20,low S/N
GIRAF.2005-01-11T05:27:34.650.fits,H548.8,3600,1.17,2.55,2.84,low S/N
GIRAF.2005-12-06T03:26:47.857.fits,H627.3,3900,1.36,1.25,1.24,
GIRAF.2005-12-06T04:46:21.726.fits,H548.8,3600,1.18,1.12,1.40,
GIRAF.2005-12-06T05:59:52.728.fits,H627.3,3900,1.12,1.26,1.40,low S/N
GIRAF.2005-12-07T05:39:28.586.fits,H548.8,3600,1.13,0.79,0.78,
GIRAF.2005-12-08T03:13:50.991.fits,H651.5A,3600,1.38,0.84,0.56,low S/N
GIRAF.2005-12-08T04:24:14.821.fits,H627.3,3900,1.20,0.62,0.54,
GIRAF.2005-12-08T05:37:44.005.fits,H651.5A,3600,1.12,0.52,0.52,low S/N
GIRAF.2006-01-06T04:50:17.596.fits,H548.8,3600,1.12,0.69,0.68,
