Name,Teff,logg,Vmic,Fe/H
M30-D,4400,0.50,2.0,-2.30
M55-283,4600,1.20,1.65,-1.75
M55-76,4550,0.90,1.9,-1.99
M68-53,4300,0.30,2.0,-2.21
Scl-400,4650,0.90,1.7,-1.98
Scl-459,4500,1.00,1.65,-1.66
Scl-461,4500,1.20,1.7,-1.56
Scl-479,4325,0.70,1.7,-1.77
Scl-482,4400,1.10,1.7,-1.24
Fnx-25,4025,0.00,2.0,-1.21
Fnx-12,4150,0.00,2.1,-1.60
Fnx-21,4000,0.50,1.7,-0.67
Leo-2,4200,0.50,1.85,-1.06
Leo-5,4250,0.80,2.2,-1.52
Car-2,4250,0.55,2.1,-1.60
Car-3,4250,0.20,2.2,-1.65
Car-4,4200,0.40,2.1,-1.59
Car-10,4375,0.40,2.0,-1.94
Car-12,4300,0.60,1.9,-1.41
