Found, Query_ID              , RA_input, DEC_input, MAIN_ID                    , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I , FLUX_J, FLUX_H, FLUX_K, OTYPE                 , SP_TYPE        , RA_2         , DEC_2        , PMRA    , PMDEC    , PLX_VALUE, RV_VALUE   , SCRIPT_NUMBER_ID
True , BD-01 0306            ,         ,          , BD-01   306                , 02 14 40.2989, -01 12 05.123,      14,       14,       0.0159,       0.0145,            90, A       , O             , 2020yCat.1350....0G,  9.6  ,  9.631,  9.066,  8.712,  8.377 ,  7.899,  7.589,  7.52 , HighPM*               , G0             , 02 14 40.2989, -01 12 05.123, 995.507 , -80.301  ,   16.2993, 28.117     ,                1
True , BD-01 2582            ,         ,          , BD-01  2582                , 11 53 37.3231, -02 00 36.728,      14,       14,       0.0163,       0.0112,            90, A       , O             , 2020yCat.1350....0G,       , 10.29 ,  9.6  ,       ,        ,  8.126,  7.717,  7.598, ChemPec*              , CEMP-s         , 11 53 37.3231, -02 00 36.728, -18.452 , -121.539 ,    2.5761, 2.63       ,                1
True , BD-18 5550            ,         ,          , BD-18  5550                , 19 58 49.7371, -18 12 11.140,      14,       14,       0.0233,       0.0158,            90, A       , O             , 2020yCat.1350....0G, 10.18 , 10.03 ,  9.35 ,  9.04 ,  8.74  ,  7.202,  6.721,  6.555, ChemPec*              , CEMP-no        , 19 58 49.7371, -18 12 11.140, 11.378  , -91.305  ,    1.972 , -125.08    ,                1
True , BD+01 2916            ,         ,          , BD+01  2916                , 14 21 45.2614, +00 46 59.173,      14,       14,       0.0137,       0.0115,            90, A       , O             , 2020yCat.1350....0G,       , 10.93 ,  9.65 ,       ,        ,  7.273,  6.566,  6.472, ChemPec*              , KIIvw          , 14 21 45.2614, +00 46 59.173, -24.279 , -13.919  ,    0.3757, -12.73     ,                1
True , BD+04 2621            ,         ,          , BD+04  2621                , 12 28 44.6433, +04 01 26.631,      14,       14,       0.0188,       0.0137,            90, A       , O             , 2020yCat.1350....0G,       , 10.86 ,  9.9  ,       ,        ,  8.179,  7.688,  7.549, ChemPec*              , KIIvw          , 12 28 44.6433, +04 01 26.631, -18.76  , -37.37   ,    0.6746, -41.03     ,                1
True , BD+06 0648            ,         ,          , BD+06   648                , 04 13 13.1126, +06 36 01.768,      14,       14,       0.015 ,       0.012 ,            90, A       , O             , 2020yCat.1350....0G,       , 10.27 ,  9.09 ,  8.58 ,        ,  6.562,  5.905,  5.798, ChemPec*              , K0             , 04 13 13.1126, +06 36 01.768, 30.224  , -38.218  ,    0.8875, -143.37    ,                1
True , BD+08 2856            ,         ,          , BD+08  2856                , 14 23 58.1664, +08 01 33.333,      14,       14,       0.0162,       0.0159,            90, A       , O             , 2020yCat.1350....0G,       , 10.9  , 10.08 ,       ,        ,  8.06 ,  7.53 ,  7.387, ChemPec*              , KIIvw          , 14 23 58.1664, +08 01 33.333, 8.721   , -20.098  ,    0.5378, 64.93      ,                1
True , BD+10 2495            ,         ,          , BD+10  2495                , 12 59 19.9306, +09 14 35.634,      14,       14,       0.0265,       0.0162,            90, A       , O             , 2020yCat.1350....0G,       , 10.44 ,  9.73 ,       ,        ,  8.13 ,  7.691,  7.571, SB*                   , G0             , 12 59 19.9306, +09 14 35.634, -45.183 , 31.422   ,    1.7856, 258.9      ,                1
True , BD+17 3248            ,         ,          , BD+17  3248                , 17 28 14.4690, +17 30 35.847,      14,       14,       0.0094,       0.0097,            90, A       , O             , 2020yCat.1350....0G,       , 10.02 ,  9.34 ,       ,        ,  7.876,  7.391,  7.338, HorBranch*            , KIIvw          , 17 28 14.4690, +17 30 35.847, -47.611 , -22.366  ,    1.2357, -146.668   ,                1
True , BD+19 1185            ,         ,          , HD 250792                  , 06 03 14.8636, +19 21 38.696,      14,       14,       0.0724,       0.0634,            90, A       , O             , 2020yCat.1350....0G,  9.89 ,  9.898,  9.31 ,  8.954,  8.547 ,  8.001,  7.695,  7.583, ChemPec*              , G1             , 06 03 14.8636, +19 21 38.696, 668.32  , -621.954 ,   14.4544, -191.97    ,                1
True , BD+29 2356            ,         ,          , BD+29  2356                , 13 01 52.4291, +29 11 17.936,      14,       14,       0.0266,       0.0233,            90, A       , O             , 2020yCat.1350....0G,       , 12.27 , 11.5  ,       ,        ,  9.646,  9.116,  9.049, RGB*                  ,                , 13 01 52.4291, +29 11 17.936, -2.75   , -23.395  ,    0.3154, -206.578003,                1
True , BD+30 2611            ,         ,          , BD+30  2611                , 15 06 53.8282, +30 00 36.941,      14,       14,       0.0066,       0.0094,            90, A       , O             , 2020yCat.1350....0G, 11.5  , 10.37 ,  9.13 ,       ,        ,  6.882,  6.203,  6.094, ChemPec*              , G8III          , 15 06 53.8282, +30 00 36.941, 13.941  , -7.761   ,    0.6546, -281.4     ,                1
