Car-484  1 06 41 39.64 -50 49 58.8 17.60 1.43 16.18 15.23 14.48 14.34 4284  60 0.68 -1.53 2.25
Car-524  1 06 41 14.71 -50 51 10.1 17.62 1.31 16.29 15.37 14.75 14.59 4436  71 0.79 -1.72 2.50
Car-612  1 06 40 58.46 -50 53 35.5 17.80 1.29 16.41 15.52 14.88 14.74 4437  65 0.87 -1.34 2.35
Car-705  1 06 42 17.43 -50 55 55.3 17.81 1.29 16.43 15.47 14.80 14.64 4337  68 0.81 -1.47 2.25
Car-769  1 06 41 19.70 -50 57 25.6 18.01 1.21 16.71 15.74 15.14 15.02 4438  93 0.95 -1.64 2.30
Car-1013 1 06 41 21.98 -51 03 43.3 17.78 1.27 16.42 15.50 14.83 14.71 4412  65 0.84 -1.62 2.35
Car-1087 1 06 41 15.47 -51 01 16.0 18.03 1.14 16.74 15.84 15.28 15.14 4542  78 1.02 -2.79 2.05
Car-5070 1 06 41 53.85 -50 58 11.2 17.88 1.21 16.53 15.62 15.04 14.90 4487  80 0.93 -2.24 1.80
Car-7002 1 06 40 49.17 -51 00 33.4 18.33 0.97 17.15 16.31 15.79 15.66 4708  75 1.23 -2.67 2.65
M2       2 06 41 57.63 -50 59 32.8 17.97 1.25 16.61 15.65 14.99 14.84 4359  69 0.89 -1.53 2.10
M3       2 06 41 54.60 -50 57 00.9 17.67 1.49 16.10 15.06 14.44 14.27 4230 116 0.67 -1.79 2.35
M4       2 06 41 48.23 -50 55 01.8 17.61 1.39 16.19 15.20 14.52 14.37 4291  78 0.69 -1.48 2.05
M10      2 06 41 46.37 -51 01 22.8 17.89 1.27 16.50 15.54 14.95 14.81 4411  94 0.89 -2.01 2.10
M12      2 06 41 36.49 -50 56 23.3 17.88 1.29 16.53 15.53 14.90 14.74 4337  89 0.84 -1.32 1.90
MKV0397  3 06 41 58.27 -50 46 41.4 18.51 1.09 17.24 16.35 15.79 15.67 4567  83 1.24 -2.01 2.35
MKV0458  3 06 41 58.20 -50 48 58.0 18.48 1.09 17.25 16.41 15.79 15.66 4586  57 1.24 -1.45 2.05
MKV0514  3 06 41 46.00 -50 51 00.6 18.17 1.24 16.89 16.01 15.41 15.27 4524  62 1.07 -2.05 2.20
MKV0556  3 06 42 22.27 -50 52 09.6 19.21 0.94 18.09 17.32 16.77 16.66 4814  59 1.65 -1.61 1.90
MKV0577  3 06 41 45.03 -50 52 49.1 18.92 1.01 17.78 16.98 16.43 16.33 4766  63 1.52 -1.06 1.90
MKV0596  3 06 41 17.69 -50 53 07.8 18.51 1.09 17.30 16.47 15.89 15.78 4655  62 1.29 -1.57 2.05
MKV0614  3 06 42 37.98 -50 53 38.0 18.75 1.01 17.55 16.70 16.16 16.02 4656  73 1.39 -1.55 2.30
MKV0628  3 06 40 35.38 -50 54 07.7 18.25 1.18 16.94 16.01 15.40 15.22 4429  77 1.05 -1.69 2.35
MKV0640  3 06 40 40.84 -50 54 29.3 18.32 1.20 17.06 16.12 15.55 15.38 4473  87 1.10 -1.85 2.50
MKV0652  3 06 41 40.83 -50 54 45.8 18.55 1.06 17.34 16.53 15.97 15.83 4675  55 1.31 -2.27 2.30
MKV0677  3 06 40 31.14 -50 55 24.7 17.76 1.29 16.38 15.40 14.79 14.64 4372  94 0.81 -1.66 2.15
MKV0698  3 06 41 26.12 -50 55 44.0 17.60 1.38 16.18 15.18 14.50 14.34 4273  80 0.68 -1.29 2.25
MKV0708  3 06 42 38.52 -50 56 00.8 18.45 1.18 17.31 16.45 15.92 15.76 4659  78 1.27 -1.50 2.00
MKV0729  3 06 42 17.46 -50 56 26.2 18.69 1.06 17.47 16.59 16.03 15.90 4600  76 1.33 -1.17 1.85
MKV0733  3 06 42 30.38 -50 56 33.2 18.78 1.04 17.55 16.67 16.15 15.99 4610  93 1.37 -1.19 1.95
MKV0740  3 06 41 29.07 -50 56 46.3 18.97 1.03 17.79 16.94 16.38 16.26 4664  65 1.48 -0.97 2.35
MKV0743  3 06 41 45.92 -50 56 54.3 19.22 0.97 18.11 17.30 16.80 16.67 4803  69 1.65 -0.76 1.90
MKV0770  3 06 41 12.30 -50 57 26.1 18.33 1.04 17.13 16.25 15.69 15.57 4619  76 1.19 -1.49 1.80
MKV0780  3 06 40 57.09 -50 57 44.5 18.60 1.05 17.42 16.56 16.01 15.90 4665  76 1.33 -1.41 2.00
MKV0812  3 06 40 51.62 -50 58 21.9 19.15 0.95 18.05 17.25 16.73 16.61 4810  60 1.63 -1.34 1.90
MKV0825  3 06 40 56.96 -50 58 38.4 18.11 1.20 16.81 15.89 15.28 15.13 4459  74 1.01 -1.30 2.25
MKV0840  3 06 42 02.81 -50 58 59.5 18.25 1.16 16.98 16.06 15.45 15.32 4486  73 1.08 -1.25 1.90
MKV0842  3 06 40 22.52 -50 59 02.0 19.08 0.94 17.96 17.14 16.61 16.44 4726  76 1.56 -1.38 2.40
MKV0880  3 06 41 15.67 -50 59 48.1 17.83 1.32 16.43 15.44 14.77 14.62 4306  78 0.79 -1.52 2.20
MKV0900  3 06 41 27.18 -51 00 18.4 17.75 1.30 16.36 15.37 14.69 14.55 4312  73 0.76 -1.63 1.90
MKV0902  3 06 41 16.31 -51 00 18.7 18.14 1.16 16.84 15.92 15.33 15.19 4486  78 1.04 -1.91 2.25
MKV0914  3 06 40 42.49 -51 00 42.7 18.26 1.10 16.98 16.07 15.55 15.39 4551  99 1.12 -2.07 1.95
MKV0916  3 06 42 08.97 -51 00 48.0 18.59 1.04 17.41 16.54 15.93 15.81 4596  56 1.29 -1.36 2.50
MKV0925  3 06 40 43.17 -51 01 06.7 18.69 1.01 17.51 16.62 16.14 16.04 4702 114 1.39 -1.34 1.70
MKV0948  3 06 41 37.66 -51 01 43.8 18.00 1.23 16.64 15.71 15.14 14.97 4449  91 0.96 -1.94 2.20
MKV0976  3 06 40 57.68 -51 02 40.7 18.99 0.93 17.88 17.09 16.56 16.47 4832  69 1.57 -1.54 2.35
MKV1007  3 06 41 44.65 -51 03 31.4 18.30 1.21 16.99 16.03 15.38 15.27 4408  78 1.05 -1.42 1.90
MKV1009  3 06 40 59.29 -51 02 26.7 18.14 1.15 16.87 15.98 15.38 15.23 4514  68 1.06 -1.52 1.75
MKV1012  3 06 41 00.31 -51 03 43.1 18.42 1.10 17.19 16.29 15.70 15.58 4551  73 1.19 -1.56 2.20
MKV1061  3 06 41 29.16 -51 05 22.2 18.60 1.12 17.38 16.54 15.93 15.83 4618  66 1.30 -1.37 2.15
