Name,Species,Ion,l_logepsX,logepsX,e_[X/H],e_[X/Fe]
LMC-003,11.0,Na I,,3.36,0.37,0.28
LMC-003,12.0,Mg I,,5.01,0.26,0.21
LMC-003,13.0,Al I,,2.51,0.62,0.65
LMC-003,14.0,Si I,,4.19,0.65,0.62
LMC-003,19.0,K I,,2.51,0.25,0.22
LMC-003,20.0,Ca I,,3.56,0.24,0.22
LMC-003,21.1,Sc II,,0.02,0.24,0.29
LMC-003,22.0,Ti I,,2.15,0.3,0.2
LMC-003,22.1,Ti II,,2.12,0.26,0.32
LMC-003,23.0,V I,<,1.03,,
LMC-003,23.1,V II,<,1.41,,
LMC-003,24.0,Cr I,,2.26,0.29,0.2
LMC-003,24.1,Cr II,,2.73,0.22,0.36
LMC-003,25.0,Mn I,<,2.35,,
LMC-003,26.0,Fe I,,4.53,0.3,0.2
LMC-003,26.1,Fe II,,4.49,0.22,0.34
LMC-003,27.0,Co I,,2.06,0.35,0.26
LMC-003,28.0,Ni I,,3.53,0.27,0.21
LMC-003,38.1,Sr II,,-0.23,0.29,0.32
LMC-003,39.1,Y II,<,-0.67,,
LMC-003,40.1,Zr II,<,0.06,,
LMC-003,56.1,Ba II,,-1.96,0.24,0.28
LMC-003,57.1,La II,<,-1.73,,
LMC-003,63.1,Eu II,<,-2.21,,0.2
LMC-003,106.0,C-H,,5.08,0.4,0.24
LMC-003,106.0,C-H,,5.08,,0.2
LMC-100,11.0,Na I,,3.49,0.34,0.23
LMC-100,12.0,Mg I,,5.32,0.28,0.23
LMC-100,13.0,Al I,,2.82,0.67,0.66
LMC-100,14.0,Si I,,4.49,0.85,0.74
LMC-100,20.0,Ca I,,3.92,0.27,0.24
LMC-100,21.1,Sc II,,0.61,0.25,0.29
LMC-100,22.0,Ti I,,2.27,0.32,0.22
LMC-100,22.1,Ti II,,2.59,0.25,0.3
LMC-100,23.0,V I,,1.1,0.47,0.38
LMC-100,23.1,V II,<,1.86,,
LMC-100,24.0,Cr I,,2.88,0.31,0.22
LMC-100,24.1,Cr II,,3.25,0.24,0.36
LMC-100,25.0,Mn I,,2.59,0.28,0.23
LMC-100,26.0,Fe I,,4.83,0.32,0.22
LMC-100,26.1,Fe II,,4.81,0.25,0.34
LMC-100,27.0,Co I,,2.38,0.36,0.23
LMC-100,28.0,Ni I,,3.56,0.32,0.25
LMC-100,38.1,Sr II,,-0.82,0.34,0.35
LMC-100,39.1,Y II,<,-0.52,,
LMC-100,40.1,Zr II,<,0.69,,
LMC-100,56.1,Ba II,,-1.24,0.27,0.28
LMC-100,57.1,La II,<,-1.27,,
LMC-100,63.1,Eu II,<,-1.78,,0.22
LMC-100,106.0,C-H,,5.48,0.4,0.26
LMC-104,11.0,Na I,,3.55,0.36,0.22
LMC-104,12.0,Mg I,,5.38,0.27,0.22
