P184431-293145 Pristine_184431.86-293145.0 4071285193071973504 281.13275 -29.52916 15.18 1.54 0.36 6000 20
P184759-315322 Pristine_184759.63-315322.5 6736966644012267648 281.99844 -31.88958 15.41 1.45 0.37 6600 31
P184843-314626 Pristine_184843.24-314626.8 6736974929031902464 282.18017 -31.77411 15.31 1.43 0.42 7200 51
P184853-302718 Pristine_184853.44-302718.4 6761132195931902208 282.22267 -30.45511 15.00 1.60 0.52 5400 23
P184957-291425 Pristine_184957.04-291425.1 6761537434686446720 282.48767 -29.24031 14.91 1.64 0.49 5400 53
P185053-313317 Pristine_185053.71-313317.7 6736253885603451776 282.72379 -31.55492 15.12 1.48 0.49 6000 24
P185129-300942 Pristine_185129.00-300942.8 6761245956700629504 282.87083 -30.16189 15.79 1.37 0.45 9000 56
P185210-315413 Pristine_185210.30-315413.2 6736183692971769472 283.04292 -31.90367 14.91 1.53 0.35 5400 48
P185347-314747 Pristine_185347.87-314747.6 6760197812879213056 283.44946 -31.79656 14.89 1.61 0.42 5400  8
P185704-301021 Pristine_185704.51-301021.6 6760823641153762816 284.26879 -30.17267 14.91 1.54 0.39 5400 26
P185855-301522 Pristine_185855.01-301522.2 6760775163878990976 284.72921 -30.25617 14.96 1.52 0.35 5400 26
P190612-315504 Pristine_190612.10-315504.4 6757188660021199360 286.55042 -31.91789 15.21 1.42 0.28 6000 47
