Z , E , CI-Chondrites (from Table4),         , Sun Convection Zone (mainly photosphere),         , Solar System* Present,         , "Solar System* Proto-Solar †,‡",         , Note  , Solar System* Present,      , "Solar System* Proto-Solar †,‡", 
  ,   , "N(E), 106Si"              , ±σ      , N(E)=10A(E)+1.551                       , ±σ      , "N(E), 106Si"        , ±σ      , "N(E), 106Si"                  , ±σ      ,       , log (E/H)+12         , ±σ   , log (E/H)+12                   , ±σ
 1, H , 4.86E+06                   , 4.49E+05, 2.81E+10                                , 2.57E+08, 2.81E+10             , 2.57E+08, 2.29E+10                       , 2.1E+08 , s     , 12.000               , 0.004, 12.000                         , 0.004
 2, He, 0.604                      , 0.060   , 2.35E+09                                , 7E+07   , 2.34E+09             , 7E+07   , 2.25E+09                       , 6E+07   , "s, t", 10.922               , 0.012, 10.992                         , 0.012
 3, Li, 56.2                       , 2.7     , 0.308                                   , 0.071   , 56.1                 , 2.7     , 56.1                           , 2.7     , m     , 3.30                 , 0.02 , 3.39                           , 0.02
 4, Be, 0.658                      , 0.038   , 0.456                                   , 0.174   , 0.657                , 0.038   , 0.657                          , 0.038   , m     , 1.37                 , 0.02 , 1.46                           , 0.02
 5, B , 18.1                       , 2.3     , 14.1                                    , 11.0    , 18.1                 , 2.3     , 18.1                           , 2.3     , m     , 2.81                 , 0.05 , 2.90                           , 0.05
 6, C , 8.29E+05                   , 1.45E+05, 9.10E+06                                , 2.10E+06, 9.08E+06             , 2.10E+06, 9.08E+06                       , 2.10E+06, s     , 8.51                 , 0.09 , 8.60                           , 0.09
 7, N , 3.70E+04                   , 1.82E+04, 2.45E+06                                , 7.1E+05 , 2.44E+06             , 7E+05   , 2.44E+06                       , 7.1E+05 , s     , 7.94                 , 0.11 , 8.03                           , 0.11
 8, O , 7.67E+06                   , 1.3E+05 , 1.62E+07                                , 2.0E+06 , 1.62E+07             , 2.0E+06 , 1.62E+07                       , 2.0E+06 , s     , 8.76                 , 0.05 , 8.85                           , 0.05
 9, F , 1280                       , 277     , 706                                     , 413     , 1278                 , 277     , 1278                           , 277     , m     , 4.66                 , 0.09 , 4.75                           , 0.09
10, Ne, 2.36E-03                   , 2.4E-04 , 3.97E+06                                , 1.26E+06, 3.96E+06             , 1.26E+06, 3.96E+06                       , 1.26E+06, "s, t", 8.15                 , 0.12 , 8.24                           , 0.12
11, Na, 56838                      , 5868    , 54838                                   , 6691    , 55852                , 1414    , 55852                          , 1414    , a     , 6.30                 , 0.01 , 6.39                           , 0.01
