Ion,lambda,RGcor,e_RGcor,SGcor,e_SGcor,HBcor,e_HBcor,MScor,e_MScor
O I,7771.94,-0.5,0.25,-0.5,0.25,-0.5,0.25,-0.5,0.25
O I,7774.17,-0.5,0.25,-0.5,0.25,-0.5,0.25,-0.5,0.25
O I,7775.39,-0.5,0.25,-0.5,0.25,-0.5,0.25,-0.5,0.25
Na I,5682.63,0.0,0.13,0.0,0.13,0.0,0.13,0.0,0.13
Na I,5688.2,0.0,0.13,0.0,0.13,0.0,0.13,0.0,0.13
Na I,5889.95,0.01,0.06,0.01,0.06,0.01,0.06,0.01,0.06
Na I,5895.92,-0.01,0.06,-0.01,0.06,-0.01,0.06,-0.01,0.06
Mg I,3829.36,0.04,0.08,0.19,0.07,0.04,0.08,,
Mg I,3832.3,0.14,0.09,0.34,0.07,,,,
Mg I,3838.29,0.18,0.1,0.44,0.04,,,,
Mg I,4057.51,0.02,0.07,-0.01,0.07,0.02,0.09,-0.01,0.16
Mg I,4167.27,-0.05,0.09,-0.02,0.05,0.04,0.07,-0.11,0.07
Mg I,4702.99,0.06,0.04,0.05,0.06,0.12,0.05,0.1,0.1
Mg I,5172.68,-0.05,0.07,-0.08,0.08,-0.2,0.11,-0.11,0.04
Mg I,5183.6,-0.1,0.07,-0.09,0.08,-0.35,0.13,-0.13,0.09
Mg I,5528.4,-0.05,0.08,-0.05,0.05,-0.02,0.05,-0.01,0.08
Mg I,5711.09,-0.02,0.13,-0.02,0.08,-0.06,0.08,0.0,0.06
Al I,3944.0,-0.04,0.09,-0.04,0.08,-0.01,0.1,,
Al I,3961.52,0.04,0.09,0.04,0.08,0.01,0.1,,
Si I,3905.52,0.14,0.16,0.14,0.16,0.14,0.16,0.14,0.16
Si I,4102.94,0.14,0.16,0.14,0.16,0.14,0.16,0.14,0.16
Si I,5665.55,0.02,0.11,0.02,0.11,0.02,0.11,0.02,0.11
Si I,5701.1,0.02,0.11,0.02,0.11,0.02,0.11,0.02,0.11
Si I,5708.4,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.11
Si I,5772.15,-0.04,0.13,-0.04,0.13,-0.04,0.13,-0.04,0.13
K I,7664.9,0.01,0.09,0.01,0.09,0.01,0.09,0.01,0.09
K I,7698.96,-0.01,0.09,-0.01,0.09,-0.01,0.09,-0.01,0.09
Ca I,4226.73,0.18,0.07,0.06,0.13,-0.23,0.06,,
Ca I,4283.01,-0.09,0.08,0.01,0.04,0.03,0.05,0.01,0.06
Ca I,4318.65,0.07,0.04,0.05,0.04,0.08,0.04,0.11,0.05
Ca I,4425.44,0.05,0.07,0.05,0.05,0.09,0.03,0.07,0.07
Ca I,4434.96,0.01,0.06,0.02,0.04,0.05,0.07,-0.01,0.02
Ca I,4435.69,0.02,0.05,0.05,0.06,0.0,0.05,0.05,0.06
Ca I,4454.78,0.1,0.06,0.08,0.04,0.09,0.04,0.1,0.05
Ca I,4455.89,0.05,0.06,0.07,0.06,0.03,0.12,0.09,0.05
Ca I,5588.76,-0.05,0.05,-0.09,0.08,-0.05,0.05,-0.11,0.04
Ca I,5857.45,-0.05,0.11,-0.06,0.07,-0.05,0.06,-0.07,0.07
Ca I,6102.72,-0.06,0.07,-0.08,0.08,-0.14,0.07,-0.06,0.04
Ca I,6122.21,-0.1,0.04,-0.08,0.06,-0.09,0.05,-0.09,0.03
Ca I,6162.17,-0.07,0.02,-0.07,0.06,-0.07,0.04,-0.07,0.04
Ca I,6439.07,0.09,0.05,0.07,0.06,0.1,0.03,0.07,0.07
Sc II,3576.34,-0.1,0.14,-0.1,0.12,-0.21,0.21,,
Sc II,3590.47,-0.23,0.17,-0.04,0.11,-0.13,0.14,,
Sc II,3645.31,-0.14,0.12,0.0,0.06,-0.11,0.1,,
Sc II,4246.82,0.08,0.1,-0.04,0.09,-0.06,0.09,0.04,0.03
Sc II,4400.39,0.03,0.04,0.0,0.04,0.05,0.05,0.0,0.02
Sc II,4415.54,0.03,0.04,0.01,0.05,0.06,0.03,0.01,0.03
Sc II,4670.41,-0.02,0.04,0.02,0.05,0.03,0.06,0.04,0.02
Sc II,5526.79,0.01,0.05,0.03,0.05,0.01,0.06,0.02,0.04
Sc II,5657.91,-0.03,0.07,-0.02,0.03,-0.03,0.1,-0.08,0.02
Ti I,3989.76,-0.01,0.1,-0.09,0.06,-0.05,0.18,-0.06,0.02
Ti I,3998.64,0.05,0.08,-0.01,0.07,0.08,0.09,0.02,0.03
Ti I,4512.73,-0.02,0.09,0.03,0.04,0.0,0.07,0.01,0.04
Ti I,4518.02,-0.01,0.1,-0.01,0.05,-0.02,0.02,0.01,0.04
Ti I,4533.24,0.03,0.05,-0.01,0.04,0.05,0.07,0.01,0.04
Ti I,4534.78,0.04,0.04,0.01,0.05,0.07,0.08,0.03,0.02
Ti I,4548.76,0.02,0.08,0.03,0.07,0.02,0.11,0.03,0.03
