logtau_ross,logtau_5000,t,logP_g,logP_e,logkappa_ross,logrho
-4.0,-3.215,4037,2.31,-3.04,-4.06,-9.04
-3.8,-3.025,4062,2.46,-2.95,-3.99,-8.97
-3.6,-2.855,4092,2.60,-2.81,-3.88,-8.83
-3.4,-2.700,4120,2.73,-2.69,-3.78,-8.71
-3.2,-2.551,4144,2.85,-2.57,-3.69,-8.59
-3.0,-2.404,4162,2.97,-2.48,-3.61,-8.47
-2.8,-2.256,4175,3.09,-2.39,-3.53,-8.35
-2.6,-2.104,4186,3.22,-2.30,-3.46,-8.23
-2.4,-1.950,4199,3.34,-2.22,-3.39,-8.11
-2.2,-1.793,4216,3.46,-2.12,-3.30,-7.99
-2.0,-1.634,4237,3.58,-2.02,-3.21,-7.87
-1.8,-1.474,4265,3.70,-1.90,-3.11,-7.75
-1.6,-1.313,4301,3.81,-1.78,-3.00,-7.65
-1.4,-1.150,4348,3.91,-1.63,-2.88,-7.55
-1.2,-0.986,4408,4.01,-1.47,-2.74,-7.45
-1.0,-0.820,4495,4.10,-1.26,-2.57,-7.37
-0.9,-0.737,4538,4.14,-1.16,-2.48,-7.34
-0.8,-0.653,4596,4.18,-1.04,-2.38,-7.30
-0.7,-0.568,4662,4.21,-0.91,-2.28,-7.28
-0.6,-0.482,4738,4.25,-0.77,-2.16,-7.25
-0.5,-0.396,4825,4.27,-0.62,-2.04,-7.23
-0.4,-0.309,4927,4.30,-0.45,-1.90,-7.22
-0.3,-0.220,5040,4.32,-0.27,-1.76,-7.20
-0.2,-0.131,5174,4.34,-0.07,-1.61,-7.20
-0.1,-0.041,5321,4.36,0.14,-1.45,-7.19
0.0,0.051,5495,4.37,0.37,-1.27,-7.19
0.1,0.143,5686,4.38,0.60,-1.09,-7.20
0.2,0.235,5917,4.39,0.86,-0.89,-7.20
0.3,0.327,6189,4.40,1.15,-0.67,-7.22
0.4,0.419,6443,4.41,1.39,-0.47,-7.23
0.5,0.509,6663,4.41,1.59,-0.31,-7.24
0.6,0.599,6854,4.42,1.75,-0.17,-7.24
0.8,0.778,7158,4.42,1.99,0.03,-7.26
1.0,0.957,7420,4.43,2.18,0.21,-7.26
1.2,1.137,7656,4.44,2.34,0.36,-7.27
1.4,1.318,7877,4.45,2.49,0.50,-7.27
1.6,1.501,8090,4.46,2.62,0.63,-7.28
1.8,1.686,8301,4.47,2.74,0.76,-7.28
2.0,1.872,8513,4.48,2.86,0.88,-7.28
