
Element,Ion,D_Teff,D_logg,D_Vmic,Wlambda,e_tot,Notes
C,,+0.23,-0.07,+0.01,,0.24,Synthesis of C_{2}
C,,+0.32,-0.11,-0.02,,0.34,Synthesis of CH A-X
N,,+0.17,-0.03,-0.02,,0.17,Synthesis of CN; C from C_{2}
N,,+0.09,+0.02,+0.03,,0.10,Synthesis of CN; C from CH
Na,1,+0.14,+0.00,-0.01,+0.07,0.15,
Mg,1,+0.12,+0.00,0.00,+0.10,0.14,
Al,1,+0.14,-0.01,-0.01,+0.12,0.18,
Si,1,+0.15,+0.01,-0.01,+0.07,0.17,
Ca,1,+0.15,-0.01,-0.02,+0.06,0.16,
Ca,2,+0.17,-0.02,-0.08,+0.02,0.19,
Sc,2,+0.12,+0.09,-0.02,+0.07,0.17,
Ti,2,+0.11,+0.09,-0.03,+0.07,0.15,
Cr,1,+0.17,-0.01,-0.01,+0.12,0.21,
Mn,1,+0.20,0.00,0.00,+0.13,0.24,
Fe,1,+0.20,-0.01,-0.04,+0.07,0.20,
Fe,2,+0.06,+0.10,0.00,+0.13,0.15,
Co,1,+0.21,-0.01,-0.04,+0.06,0.22,
Ni,1,+0.21,-0.01,-0.03,+0.07,0.21,
Zn,1,+0.08,+0.04,-0.01,+0.13,0.16,
Sr,2,+0.11,+0.10,-0.01,+0.13,0.20,
Ba,2,+0.12,+0.09,-0.01,+0.12,0.19,
Eu,2,+0.11,+0.09,-0.01,+0.13,0.19,
