Ion,lambda,ExPot,log(gf),Car484,l_Car524,Car524,l_Car612,Car612,f_Car612,l_Car705,Car705,l_Car769,Car769,l_Car1013,Car1013,f_Car1013
Fe I,5001.864,3.88,0.01,124.9,,116.7,,124.0,,,134.0,,104.3,,165.1,
Fe I,5006.12,2.83,-0.615,194.7,,166.1,,185.2,,,193.8,,158.2,,,
Fe I,5012.07,0.86,-2.642,,,195.0,,,,,,,179.3,,,
Fe I,5014.94,3.94,-0.3,113.4,,103.4,,117.0,,,114.3,,65.4,,97.2,
Fe I,5022.24,3.98,-0.53,84.6,,84.0,,107.4,,,101.8,,75.9,,126.5,
Fe I,5028.13,3.57,-1.12,96.3,,75.5,,94.5,,,91.5,,54.6,,83.1,
Fe I,5041.072,0.96,-3.086,,,,,154.1,,,,,,,,
Fe I,5044.21,2.85,-2.04,120.5,,99.5,,107.0,,,95.3,,76.2,,73.9,
Fe I,5049.82,2.28,-1.355,194.3,,171.2,,190.9,,,189.1,,163.9,,180.5,
Fe I,5051.635,0.92,-2.764,,,196.3,,191.9,,,,,176.6,,,
Fe I,5060.08,0.0,-5.46,,,135.3,,148.8,,,154.4,,138.8,,,
Fe I,5068.766,2.94,-1.041,165.0,,139.8,,146.1,,,179.4,,137.4,,158.4,
Fe I,5074.75,4.22,-0.2,117.7,,87.2,,117.5,,,108.8,,98.0,,116.3,
Fe I,5079.22,2.2,-2.067,154.0,,141.5,,147.8,,,140.7,,125.1,,116.0,
Fe I,5079.75,0.99,-3.245,,,180.5,,173.7,,,,,169.2,,,
Fe I,5080.95,3.27,-3.09,,,,,,,,,,,,41.2,
Fe I,5083.35,0.96,-2.842,,,181.2,,184.5,,,197.5,,177.4,,,
Fe I,5090.77,4.26,-0.36,91.8,,80.1,,95.6,,,98.5,,61.6,,74.1,
Fe I,5098.7,2.18,-2.03,,,172.5,,,,,,,,,157.6,
Fe I,5110.413,0.0,-3.758,,,,,,,,,,197.3,,,
Fe I,5123.72,1.01,-3.058,180.4,,186.4,,197.7,,,189.0,,191.1,,197.2,
Fe I,5125.12,4.22,-0.14,107.3,,99.9,,122.3,,,123.7,,103.7,,126.3,
Fe I,5127.359,0.92,-3.249,,,177.6,,184.9,,,,,152.3,,189.7,
Fe I,5131.47,2.22,-2.51,150.9,,112.9,,124.0,,,146.9,,112.6,,172.1,
Fe I,5133.69,4.18,0.14,140.7,,130.6,,141.6,,,139.7,,128.1,,153.8,
Fe I,5137.38,4.18,-0.4,105.0,,93.9,,,,,108.3,,72.1,,113.4,
Fe I,5141.74,2.42,-1.964,135.8,,109.8,,123.4,,,138.2,,113.2,,133.1,
Fe I,5150.85,0.99,-3.037,,,177.4,,194.0,,,187.6,,169.2,,170.0,
Fe I,5151.92,1.01,-3.321,,,162.6,,186.1,,,186.8,,160.5,,,
Fe I,5159.05,4.28,-0.81,55.7,,36.8,,74.5,,,69.9,,44.9,,53.1,
Fe I,5162.29,4.18,0.02,148.2,,115.7,,140.3,,,131.0,,131.6,,,
Fe I,5165.41,4.22,-0.04,89.6,,64.5,,86.3,,,77.4,,67.8,,71.0,
Fe I,5166.28,0.0,-4.123,,,192.4,,,,,199.5,,169.8,,,
Fe I,5171.61,1.48,-1.721,,,,,,,,,,180.0,,197.9,
Fe I,5191.455,3.04,-0.551,,,166.3,,190.3,,,,,159.3,,,
Fe I,5192.34,3.0,-0.421,198.6,,169.6,,179.4,,,173.9,,158.2,,195.1,
Fe I,5194.942,1.56,-2.021,,,200.1,,,,,184.2,,160.3,,,
Fe I,5198.71,2.22,-2.135,165.6,,148.7,,164.3,,,141.1,,146.6,,178.8,
Fe I,5202.34,2.18,-1.838,,,168.9,,181.5,,,195.7,,140.5,,200.4,
Fe I,5215.19,3.27,-0.93,132.0,,111.9,,123.7,,,130.1,,109.2,,133.2,
Fe I,5216.28,1.61,-2.082,,,189.1,,,,,,,158.7,,191.4,
Fe I,5217.39,3.21,-1.16,127.2,,121.9,,116.2,,,117.0,,112.7,,103.6,
Fe I,5225.526,0.11,-4.755,,,164.0,,174.2,,,174.1,,158.5,,178.7,
Fe I,5232.95,2.94,-0.057,,,187.0,,,,,,,,,175.1,
Fe I,5242.49,3.63,-0.97,106.3,,84.5,,112.6,,,,,77.2,,111.5,
Fe I,5247.05,0.09,-4.946,,,176.5,,168.5,,,,,172.8,,,
Fe I,5250.21,0.12,-4.898,,,163.8,,188.7,,,,,161.6,,176.5,
Fe I,5250.65,2.2,-2.18,193.9,,162.5,,150.7,,,191.9,,143.6,,,
Fe I,5253.02,2.28,-3.81,34.8,,,,53.7,,,46.1,,,,42.8,
Fe I,5254.955,0.11,-4.764,,,189.4,,170.7,,,,,162.9,,194.3,
Fe I,5263.31,3.27,-0.879,147.4,,120.3,,146.8,,,137.8,,120.9,,125.3,
Fe I,5266.555,3.0,-0.385,180.8,,166.9,,184.8,,,168.0,,162.9,,156.3,
Fe I,5281.79,3.04,-0.833,184.4,,141.4,,169.7,,,142.5,,137.0,,142.2,
Fe I,5283.621,3.24,-0.524,184.1,,162.0,,182.4,,,140.6,,139.0,,118.4,
Fe I,5302.302,3.28,-0.88,152.1,,129.4,,148.3,,,145.9,,129.7,,178.3,
Fe I,5307.37,1.61,-2.912,171.2,,142.0,,175.3,,,151.7,,114.7,,181.9,
Fe I,5324.19,3.21,-0.1,192.4,,183.4,,182.2,,,182.3,,180.1,,191.2,
Fe I,5332.9,1.56,-2.78,193.5,,159.4,,171.4,,,187.1,,152.9,,176.0,
Fe I,5339.93,3.27,-0.72,150.4,,131.9,,157.4,,,154.2,,119.6,,160.0,
Fe I,5364.86,4.45,0.228,121.8,,94.8,,117.4,,,113.1,,95.7,,117.4,
Fe I,5367.48,4.42,0.443,110.2,,105.2,,126.2,,,133.3,,108.5,,136.8,
Fe I,5369.96,4.37,0.536,122.5,,107.3,,124.7,,,132.7,,118.8,,117.7,
Fe I,5383.37,4.31,0.645,147.6,,134.9,,166.2,,,148.2,,145.6,,154.0,
Fe I,5386.34,4.16,-1.74,,,,,,,,39.5,,,,32.9,
Fe I,5389.48,4.42,-0.4,97.8,,76.1,,92.6,,,50.8,,66.5,,79.8,
Fe I,5393.17,3.24,-0.92,136.2,,143.2,,161.5,,,146.5,,132.3,,152.1,
Fe I,5395.22,4.45,-1.73,,,,,,,,,,,,35.9,
Fe I,5400.51,4.37,-0.15,100.0,,89.1,,115.4,,,102.4,,98.0,,91.2,
