wavelength,species,expot,loggf
6300.304,8.0,0.0,-9.819
6363.776,8.0,0.02,-10.303
5682.633,11.0,2.102,-0.706
5688.203,11.0,2.104,-0.406
5889.951,11.0,0.0,0.108
5895.924,11.0,0.0,-0.194
4167.271,12.0,4.346,-0.745
4702.991,12.0,4.346,-0.44
5172.684,12.0,2.712,-0.393
5183.604,12.0,2.717,-0.167
5528.405,12.0,4.346,-0.498
5711.088,12.0,4.343,-1.724
6318.717,12.0,5.108,-2.02
6319.237,12.0,5.108,-2.242
6319.493,12.0,5.108,-2.719
3944.006,13.0,0.0,-0.635
3961.52,13.0,0.014,-0.333
6696.015,13.0,3.143,-1.569
6698.673,13.0,3.143,-1.87
3905.523,14.0,1.909,-1.041
4102.936,14.0,1.909,-3.336
5665.554,14.0,4.92,-2.04
5690.425,14.0,4.93,-1.87
5701.105,14.0,4.93,-2.05
5708.397,14.0,4.954,-1.47
5772.145,14.0,5.082,-1.75
5948.545,14.0,5.082,-1.231
5782.384,19.0,1.61,-1.924
5801.752,19.0,1.617,-1.625
6911.084,19.0,1.61,-1.446
6938.767,19.0,1.617,-1.145
7664.911,19.0,0.0,0.125
7698.974,19.0,0.0,-0.178
4283.011,20.0,1.886,-0.224
4318.652,20.0,1.899,-0.21
4425.437,20.0,1.879,-0.358
4454.779,20.0,1.899,0.258
4455.887,20.0,1.899,-0.518
5349.465,20.0,2.709,-0.31
5581.965,20.0,2.523,-0.555
5588.749,20.0,2.524,0.21
5590.114,20.0,2.521,-0.571
5594.462,20.0,2.523,0.097
5598.48,20.0,2.521,-0.087
5601.277,20.0,2.526,-0.523
5857.451,20.0,2.93,0.23
5867.562,20.0,2.933,-1.57
6102.723,20.0,1.879,-0.793
6122.217,20.0,1.886,-0.38
6162.173,20.0,1.899,-0.17
6166.439,20.0,2.521,-1.142
6169.042,20.0,2.523,-0.797
6169.563,20.0,2.526,-0.478
6439.075,20.0,2.526,0.39
6449.808,20.0,2.521,-0.502
6499.65,20.0,2.523,-0.818
6499.65,20.0,2.523,-0.818
6717.681,20.0,2.709,-0.524
4008.927,22.0,0.021,-1.0
4326.351,22.0,0.825,-1.26
4426.051,22.0,1.878,-0.31
4440.343,22.0,1.872,-0.39
4449.142,22.0,1.886,0.47
4450.894,22.0,1.878,0.32
4453.313,22.0,1.429,-0.03
4453.699,22.0,1.872,0.1
4455.317,22.0,1.442,0.1
4457.427,22.0,1.459,0.26
4465.805,22.0,1.738,-0.13
4471.237,22.0,1.732,-0.15
4474.851,22.0,1.442,-0.91
4496.145,22.0,1.748,-0.14
4512.734,22.0,0.835,-0.4
4518.022,22.0,0.825,-0.25
4527.304,22.0,0.812,-0.45
4533.239,22.0,0.848,0.54
4534.776,22.0,0.835,0.35
4535.569,22.0,0.825,0.14
4548.764,22.0,0.825,-0.28
